isolate	pub_id	Seg-1	Seg-2	Seg-3	Seg-4	Seg-5	Seg-6	Seg-7	Seg-8	Seg-9	Seg-10	host	country	collection_year	collection_month	collection_month_day	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells	clinical_symptoms		
GRE1999/26	26252219	KP820933	KP821053	KP821175	KP821295	KP821415	KP821535	KP821657	KP821777	KP821897	KP822018	Culicoides obsoletus	Greece	1999	OCT	15	field	Keramidi-Magnesia	Culicoides obsoletus	BHK6	Mammalian			
GRE1999/31	26252219	KP820962	KP821082	KP821204	KP821324	KP821444	KP821564	KP821686	KP821806	KP821926	KP822047	Bos taurus	Greece	1999	NOV	25	field	Aghia Paraskevi-Lesbos	spleen	KC1	Culicoides sp.			
GRE2000/01	18570969		AJ585167				AJ586681		AM900372				Greece	2000			field	Rhodes	blood	E2BHK6	Mammalian			
GRE2000/02	20422575		AJ585171										Greece	2000			field							
GRE2000/07	26252219	KP820934	KP821054	KP821176	KP821296	KP821416	KP821536	KP821658	KP821778	KP821898	KP822019	Ovis aries	Greece	2000	OCT	3	field	Arta	blood	E2BHK5	Mammalian			
GRE2000/07	19649272			DQ186806								Ovis aries	Greece	2000	OCT	3	field	Arta	blood	E2BHK5	Mammalian			
GRE2000/08	26252219	KP820935	KP821055	KP821177	KP821297	KP821417	KP821537	KP821659	KP821779	KP821899	KP822020	Culicoides obsoletus	Greece	2000	APR	13	field	Kavala	Culicoides obsoletus	BHK7	Mammalian			
GRE2001/01	26252219	KP820885	KP821005	KP821127	KP821247	KP821367	KP821487	KP821609	KP821729	KP821850	KP821970	Ovis aries	Greece	2001	OCT	15	field	Agiasos-Achladeri-Lesbos	spleen	BHK5	Mammalian			
GRE2001/01	18570969		AJ585121				AJ586664	GQ506450		EU220289		Ovis aries	Greece	2001	OCT	15	field	Agiasos-Achladeri-Lesbos	spleen	BHK5	Mammalian			
GRE2001/02	17586061	EF059720										Ovis aries	Greece	2001	OCT	15	field	Agiasos-Achladeri-Lesbos	spleen	BHK5	Mammalian			
GRE2001/05	19649272			DQ186822								Ovis aries	Greece	2001	SEP	18	field	Oraioastro-Delvinaki-Ioannina	spleen	E1BHK11	Mammalian			
GRE2001/06	26252219	KP820886	KP821006	KP821128	KP821248	KP821368	KP821488	KP821610	KP821730	KP821851	KP821971	Ovis aries	Greece	2001	DEC	31	field	Smiksi-Grevena	spleen	BHK10	Mammalian			
GRE2001/06	19649272			DQ186820								Ovis aries	Greece	2001	DEC	31	field	Smiksi-Grevena	spleen	BHK10	Mammalian			
GRE2001/07	22285887		JN635334									Ovis aries	Greece	2001			field							
GRE2001/07	19649272			DQ186807								Ovis aries	Greece	2001	OCT	15	field	Agiasos-Achladeri-Lesbos	blood	BHK2E1BHK2	Mammalian			
GRE2001/07	UP					AM778438						Ovis aries	Greece	2001	OCT	15	field	Agiasos-Achladeri-Lesbos	blood	BHK2E1BHK2	Mammalian			
GRE2001/10	26252219	KP820887	KP821007	KP821129	KP821249	KP821369	KP821489	KP821611	KP821731	KP821852	KP821972	Ovis aries	Greece	2001	NOV	16	field	Potamia-Paramithia-Thesprotia	spleen	E1BHK7	Mammalian			
GRE2008/01	26252219	KP820953	KP821073	KP821195	KP821315	KP821435	KP821555	KP821677	KP821797	KP821917	KP822038	Ovis aries	Greece	2008			field	Aghia Paraskevi-Lesbos	blood	KC1	Culicoides sp.			
GRE2008/10	26252219	KP820870	KP820990	KP821112	KP821232	KP821352	KP821472	KP821594	KP821714	KP821834	KP821955	Ovis aries	Greece	2008	OCT		field	Madamados-Lesbos	blood	KC1	Culicoides sp.			
GRE2012/01	26252219	KP820936	KP821056	KP821178	KP821298	KP821418	KP821538	KP821660	KP821780	KP821900	KP822021	Ovis aries	Greece	2012	NOV		field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian			
GRE2012/02	26252219	KP820937	KP821057	KP821179	KP821299	KP821419	KP821539	KP821661	KP821781	KP821901	KP822022	Ovis aries	Greece	2012	NOV		field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian			
GRE2012/03	26252219	KP820938	KP821058	KP821180	KP821300	KP821420	KP821540	KP821662	KP821782	KP821902	KP822023	Ovis aries	Greece	2012	NOV		field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian			
Guatemala	8837885		L42169										Guatemala											
Guntur	UP							KF460442			KF460444	Ovis aries	India		OCT	12	field	Andhra Pradesh						
Hisar	17286046							AY789967					India				field							
Hisar	UP						EU443927						India	1985			field	Hisar-Haryana						
Hisar	UP					KC706456						Ovis aries	India				field							
Hisar/85/Ind	25703157		KF563929									Ovis aries	India				field	Hisar-Haryana	blood					
HS19/05	UP			AB449029								Bos taurus	Japan				field	Tochigi	blood					
HT13/05	UP			AB449024								Bos taurus	Japan				field	Tochigi	blood					
IB30/05	UP			AB449030								Bos taurus	Japan				field	Tochigi	blood					
II9/05	UP			AB449031								Bos taurus	Japan				field	Tochigi	blood					
Ind-R1-2007	22787266	JX003687	JX003688	JX003689	JX003690	JX003691	JX003692	JX003693	JX003694	JX003695	JX003696	Ovis aries	India	2007	OCT	26	field	Andhra Pradesh	spleen					
IND/2007/04/BT1	UP			EU880280									India											
IND/2007/04/BT10	UP			EU880287								Ovis aries	India											
IND/2007/04/BT11H1	UP			EU880292								Ovis aries	India											
IND/2007/04/BT2	UP			EU880281									India											
IND/2007/04/BT3	UP			EU880282									India											
IND/2007/04/BT4	UP			EU880283									India											
IND/2007/04/BT5	UP			EU880284									India											
IND/2007/04/BT6	UP			EU880286								Ovis aries	India											
IND/2007/04/BT7	UP					EU880288						Ovis aries	India											
IND/2007/04/BT8	UP			EU880289								Ovis aries	India											
IND/2007/04/BT9	UP					EU880290						Ovis aries	India											
IND/2007/04/BTONG5	UP			EU880291								Ovis aries	India											
IND/Goat/2010/16/HSR	22787269	JQ924820	JQ924821	JQ924822	JQ924823	JQ924824	JQ924825	JQ924826	JQ924827	JQ924828	JQ924829	Capra aegagrus hircus	India	2010			field	Chennai	blood	BHK?	Mammalian			
IND1982/01	22532533	JQ713557	AJ585152	JQ713558	JQ713559	JQ713560	AJ586675	JQ713561	AM900382	JQ713562	JQ713563		India	1982	MAR	26	field			E2BHK3	Mammalian			
IND1988/01	UP						AJ586661						India		SEP	24	field			BHK11	Mammalian			
IND1988/02	22628397	JQ771823	JQ771824	JQ771825	JQ771826	JQ771827		JQ771828	JQ771829	JQ771830	JQ771831	Ovis aries	India	1988	JAN		field	Maharashtra-Rahuri	blood and spleen	BHK91	Mammalian			
IND1988/02	UP						AJ631217					Ovis aries	India				field	Maharashtra-Rahuri	blood and spleen	BHK91	Mammalian			
IND1988/03	17586061	EF059740					AJ783907					Ovis aries	India				field	Rishikesh-Uttranchal	blood and spleen	BHK55	Mammalian			
IND1992/01	22457532	JQ282770	AJ585111	JQ282771	JQ282772	JQ282773	AJ586659	JQ282774	JQ282775	JQ282776	JQ282777	Ovis aries	India	1992	MAR	3	field	Avikanagar-Rajasthan	blood	BHK?	Mammalian			
IND1992/02	UP						AJ586660						India		NOV	3	field			E1BHK12	Mammalian			
IND1994/01	25858823	KP268774	KP268775	KP268776	KP268777	KP268778	KP268779	KP268780	KP268781	KP268782	KP268783		India	1994			field			?BHK2	Mammalian			
IND1997/01	UP		AJ585189				AJ586728		AM900381			Ovis aries	India		DEC		field	Bangalore		E1V25BHK4	Mammalian			
IND1998/01	19649272			DQ186810								Ovis aries	India	1998			field	Bangalore	blood and spleen	BHK21	Mammalian			
IND1998/01	UP						AJ631216					Ovis aries	India				field	Bangalore	blood and spleen	BHK21	Mammalian			
IND1999/01	UP						AJ586662					Ovis aries	India		AUG		field	Haryana		E2BHK10	Mammalian			
IND2001/01	UP						AJ586663					Culicoides	India		FEB	19	field	Chennai	Culicoides sp.	BHK9	Mammalian			
IND2003/01	UP						AJ783904					Ovis aries	India				field	Tiruneveli-Tamil Nadu	blood and spleen	BHK8	Mammalian			
IND2003/02_tissue_1	22492927	JQ681257	JQ681258	JQ681259	JQ681260	JQ681261		JQ681262	JQ681263	JQ681264	JQ681265	Ovis aries	India	2003			field	Tiruneveli-Tamil Nadu	blood and morbid tissues	BHK5E1BHK2	Mammalian			
IND2003/02_tissue_2	UP						AJ783905					Ovis aries	India				field	Tiruneveli-Tamil Nadu	blood and spleen	BHK5E1BHK2	Mammalian			
IND2003/03	UP						AJ783906					Ovis aries	India				field	Tiruneveli-Tamil Nadu	blood and spleen	BHK5E1BHK3	Mammalian			
IND2003/04	UP						AJ783902					Ovis aries	India				field	Coimbatore-Tamil Nadu	blood and spleen	BHK5E1BHK2	Mammalian			
IND2003/05	UP						AJ783903					Ovis aries	India				field	Thoothukudi-Tamil Nadu	blood and spleen	BHK5E1BHK2	Mammalian			
IND2003/08	22570246	JQ771813	JQ771814	JQ771815	JQ771816	JQ771817	JQ771818	JQ771819	JQ771820	JQ771821	JQ771822		India	2003			field			BHK?	Mammalian			
IND2004/01	22532535	JQ740771	JQ740772	JQ740773	JQ740774	JQ740775	JQ740776	JQ740777	JQ740778	JQ740779	JQ740780		India	2004			field	Andhra Pradesh	blood	BHK3	Mammalian			
IND2004/05	18570969								AM900386				India	2004			field			?BHK3	Mammalian			
IND2004/08	18570969								AM900387	EU220297			India	2004			field			?BHK3	Mammalian			
IND2005	UP		KJ679573									Ovis aries	India		MAR	20	field			BHK?	Mammalian			
IND2005/01	18570969								AM900388	EU220293			India	2005			field	Hyderabad	blood	?BHK3	Mammalian			
IND2005/02	18570969								AM900385				India	2005			field	Hyderabad		?BHK3	Mammalian			
IND2010/01  (M6)	27241307		KU355785									Ovis aries	India	2010	OCT		field	Medak district, Telangana State	blood	E?BHK?	Mammalian	yes		
IND2010/cattle/16	UP	JX007923	JX007924	JX007925	JX007926		JX007927	JX007928	JX007929	JX007930	JX007931	Bos taurus	India	2010	OCT		field		blood					
IND2014/01	27540057	KX302634	KX302635	KX302636	KX302637	KX302638	KX302639	KX302640	KX302641	KX302642	KX302643	Ovis aries	India	2014	NOV		field	Karur, Tamil Nadu	blood	KC?BHK?	Culicoides-Mammalian			
IND2015/340	28116836		KX905151									Ovis aries	India	2015	MAR	13	field	Hansi,Hisar,Haryana	rectal swab	KC?BHK?	Culicoides-Mammalian	yes		
IND2016/118	UP	MF615237	MF615238	MF615239	MF615240	MF615241	MF615242	MF615243	MF615244	MF615245	MF615246	Ovis aries	India	2016	APR	1	field	Pataudi, Gurugram, Haryana	blood	KC?BHK?	Culicoides-Mammalian	yes		
INDAPADBNMO1/11	24330644	KC662612	KC662613	KC662614	KC662615	KC662616	KC662617	KC662618	KC662619	KC662620	KC662621	Ovis aries	India	2011	SEP	10	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian			
INDAPADBNR82/11	UP		KC751425									Ovis aries	India				field		blood	BHK?	Mammalian			
INDAPKRM07/10	UP		KC751421									Ovis aries	India				field		blood	BHK?	Mammalian			
INDAPKRM08/10	UP		KC751422									Ovis aries	India				field		blood	BHK?	Mammalian			
INDAPMBNAO06/10	UP		KC751424									Ovis aries	India				field		blood	BHK?	Mammalian			
INDAPMBNAP04/10	UP		KC751423									Ovis aries	India				field		blood	BHK?	Mammalian			
INDAPNLRVC07/10	UP		KC751419									Ovis aries	India				field		blood	BHK?	Mammalian			
INDAPNLRVC12/10	UP		KC751420									Ovis aries	India				field		blood	BHK?	Mammalian			
India	UP			AY376324									India											
ISA1991/01	20422575		AJ585151				AJ586690						Indonesia	1991			field	Indonesia						
ISA1991/01	19649272			DQ186812									Indonesia	1991	AUG	1	field			E1ASL1BHK6	Mammalian			
ISA1991/02	UP		AJ585188				AJ586729						Indonesia	1991	JUL	10	field			BHK4	Mammalian			
ISR2001/01	19649272			DQ186813								Ovis aries	Israel	2001	SEP	5	field	Bat Slomo		E2BHK2	Mammalian			
ISR2001/17	26252219	KP820907	KP821027	KP821149	KP821269	KP821389	KP821509	KP821631	KP821751	KP821872	KP821992	Ovis aries	Israel	2001	FEB	27	field	Yokneam	spleen	E1BHK5	Mammalian			
ISR2001/18	26252219	KP820871	KP820991	KP821113	KP821233	KP821353	KP821473	KP821595	KP821715	KP821835	KP821956	Ovis aries	Israel	2001	FEB	27	field	Yokneam		E1BHK4	Mammalian			
ISR2001/18	19649272			DQ186814								Ovis aries	Israel	2001	FEB	27	field	Yokneam		E1BHK4	Mammalian			
ISR2001/18	18598726		AM773701			AM773695	AM773704					Ovis aries	Israel	2001	FEB	27	field	Yokneam		E1BHK4	Mammalian			
ISR2001/18	18598726		AM773710									Ovis aries	Israel	2001	FEB	27	field	Yokneam		E1BHK4	Mammalian			
ISR2001/18w	26252219									KP821836		Ovis aries	Israel	2001	FEB	27	field	Yokneam		E1BHK4	Mammalian			
ISR2006/11	26252219	KP820978	KP821098	KP821220	KP821340	KP821460	KP821580	KP821702	KP821822	KP821942	KP822063	Ovis aries	Israel	2006	NOV	17	field	Yachini		CE1BHK1	Mammalian			
ISR2006/12	26252219	KP820939	KP821059	KP821181	KP821301	KP821421	KP821541	KP821663	KP821783	KP821903	KP822024	Ovis aries	Israel	2006	NOV	17	field	Elyakim		CE1BHK1	Mammalian			
ISR2008/02	26252219	KP820940	KP821060	KP821182	KP821302	KP821422	KP821542	KP821664	KP821784	KP821904	KP822025	Bos taurus	Israel	2008	OCT	13	field	Zde Eliahu	blood	E2BHK2	Mammalian			
ISR2008/03	26252219	KP820872	KP820992	KP821114	KP821234	KP821354	KP821474	KP821596	KP821716	KP821837	KP821957	Capra aegagrus hircus	Israel	2008	OCT	24	field	Ein Kamonim	spleen	E1BHK2	Mammalian			
ISR2008/13	26252219	KP820952	KP821072	KP821194	KP821314	KP821434	KP821554	KP821676	KP821796	KP821916	KP822037	Bos taurus	Israel	2008	NOV	27	field	Rosh ha-nikra	spleen	KC2	Culicoides sp.			
IT-2001(57385-2)	UP		AJ430062									Bos taurus	Italy	2001			field							
IT-2001(57532-1)	UP		AJ430057									Bos taurus	Italy	2001			field		faeces					
IT-2001(57532-2)	UP		AJ430058									Bos taurus	Italy	2001			field							
IT-2001(57618-2)	UP		AJ430059									Bos taurus	Italy	2001			field							
IT-2001(57724-1)	UP		AJ430060									Bos taurus	Italy	2001			field							
IT-2001(57724-2)	UP		AJ430061									Bos taurus	Italy	2001			field							
ITL2002_Apulia_2002	23969049	KF387521	KF387522	KF387523	KF387524	KF387525	KF387526	KF387527	KF387528	KF387529	KF387530	Bos taurus	Italy	2002			field	Apulia	blood					
ITL2002_Puglia_2004	16566253					DQ098094							Italy	2004				Puglia						
ITL2002/01	18598726		AM773698									Culicoides	Italy	2002	JUL	18	field	Novara Di Sicila-Sicily	Culicoides pulicaris	E1BHK4	Mammalian			
ITL2002/01	18598726		AM773708			AM773687						Culicoides	Italy	2002	JUL	18	field	Novara Di Sicila-Sicily	Culicoides pulicaris	E1BHK4	Mammalian			
ITL2002/02	26252219	KP820908	KP821028	KP821150	KP821270	KP821390	KP821510	KP821632	KP821752	KP821873	KP821993	Culicoides pulicaris	Italy	2002	JUL	18	field	Novara di Sicilia-Sicily	Culicoides pulicaris	E1BHK5	Mammalian			
ITL2002/05	20422575		AJ585158				AJ586669						Italy	2002			field	Sicily						
ITL2002/06	20422575		AJ585159				AJ586670						Italy	2002			field	Sicily						
ITL2002/07_place_1	26252219	KP820909	KP821029	KP821151	KP821271	KP821391	KP821511	KP821633	KP821753	KP821874	KP821994	Ovis aries	Italy	2002	JUL	18	field	S.Angelo di Brolo-Sicily	spleen	E1BHK7	Mammalian			
ITL2002/07_place_1	19649272			DQ186815								Ovis aries	Italy	2002	JUL	18	field	S.Angelo di Brolo-Sicily	spleen	E1BHK7	Mammalian			
ITL2002/07_place_1	18598726					AM773688						Ovis aries	Italy	2002	JUL	18	field	S.Angelo di Brolo-Sicily	spleen	E1BHK7	Mammalian			
ITL2002/07_place_2	20422575		AJ585160				AJ586671						Italy	2002			field	Sicily						
ITL2003/01	26252219	KP820963	KP821083	KP821205	KP821325	KP821445	KP821565	KP821687	KP821807	KP821927	KP822048	Ovis aries	Italy	2003	APR	2	field	Nissoria-Enna-Sicily	spleen	BHK7	Mammalian			
ITL2003/01	UP						AJ631215					Ovis aries	Italy	2003	APR	2	field	Nissoria-Enna-Sicily	spleen	BHK7	Mammalian			
IVRI-3	19382719							AM261979					India				field							
IVRI-a	19382719							AM261980					India				field							
JBP42/Ind/2012	30250358		KP735614									Bos taurus	India		DEC		field	Jabalpur, Madhaya, Pradesh	blood	BHK3	Mammalian			
JKT-10757	21450948	HQ397673										Culicidae					field		Mosquitoes					
JP/Ibaraki/2001	UP			AB127970								Bos taurus	Japan	2001			field	Ibaraki						
K1/08	UP		JX854018									Ovis aries	India	2008			field		blood	BHK?	Mammalian			
K23/08	23831448	JX399148	JX399149	JX399150	JX399151	JX399152	JX399153	JX399154	JX399155	JX399156	JX399157	Ovis aries	India	2008	SEP	26	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian			
K31-08/ABT/HSR	UP	KF664103	KF664104	KF664105	KF664106	KF664107	KF664108	KF664109	KF664110	KF664111	KF664112	Ovis aries	India	2008			field	Andhra Pradesh	blood	BHK?	Mammalian			
K31/08	UP		JX854019									Ovis aries	India	2008			field		blood	BHK?	Mammalian			
K32/08	UP		JX854020									Ovis aries	India	2008			field		blood	BHK?	Mammalian			
K34/08	UP		JX854021									Ovis aries	India	2008			field		blood	BHK?	Mammalian			
K8_passage_place_1	UP		DQ462581										India				field	Andhara Pradesh		BHK?	Mammalian			
K8_passage_place_2	22258368		JF443155			JF443168		JF443169				Ovis aries	India	2003			field	Khamman-Andhra Pradesh		E3BHK?	Mammalian			
Kar-50	UP		GU931317									Ovis aries	India		JUN		field			BHK?	Mammalian			
KB/01	UP		AB449049	AB449021							AB449055	Ovis aries	Japan				field	Tochigi	spleen					
KDP15/07/Ind	25703157		KF563933									Ovis aries	India				field	Kadappa-Andhra Pradesh	blood					
KEN????/01	UP		AJ585183				AJ586707						Kenya				field			BHK?	Mammalian			
KEN????/02	UP		AJ585185				AJ586712						Kenya				field			BHK?	Mammalian			
KM	15675526, 20855174	AY493686	AY493687	AY493688	AY493689	AY462225	AY493690	AY493692	AY493684	AY493691	AY493685	Capra aegagrus hircus	Taiwan	2003	MAY		field	Kinmen island	blood	E1BHK2	Mammalian			
KMN07/05	25598289	KP339234	KP339235	KP339236	KP339237	KP339238	KP339239	KP339240	KP339241	KP339242	KP339243	Ovis aries	India	2005	SEP		field	Karimnagar, Telangana	blood	E3BHK3	Mammalian	Yes		
KMN07/05	22350945		JF768738			JF747592		JF768739				Ovis aries	India				field	Karimnagar, Telangana	blood	E3BHK3	Mammalian			
KMN07/05	UP							JF776369				Ovis aries	India				field	Karimnagar, Telangana		E3BHK3	Mammalian			
Kmno-7/06/IND	23353779		JN613126			KF289017	JN572916					Ovis aries	India		NOV		field	Andhra Pradesh						
Kol-2_1	UP							DQ462582					India				field	Kolkata-West Bengal		BHK?	Mammalian			
KOL-2_2	19382719							AM261981					India				field							
KOS2001/01	26252219	KP820964	KP821084	KP821206	KP821326	KP821446	KP821566	KP821688	KP821808	KP821928	KP822049	Ovis aries	Kosovo	2001	SEP	12	field	Sadovine-Viti-Pristina	blood	E1BHK2	Mammalian			
KOS2001/03	26252219	KP820965	KP821085	KP821207	KP821327	KP821447	KP821567	KP821689	KP821809	KP821929	KP822050	Ovis aries	Kosovo	2001	AUG	30	field	Sllatina-Podujevo-Pristina	blood	E1BHK4	Mammalian			
KOS2001/04	17586061	EF059729										Ovis aries	Kosovo	2001			field		blood	E1BHK1	Mammalian			
Krishna	UP							KF460443			KF460445	Ovis aries	India		SEP	20	field							
KRNL-03/2013	29120083		 KY947348									Ovis aries	India	2013	SEP		field	Andhra Pradesh	blood	KC?BHK?	Culicoides-Mammalian	yes		
KS42/05	UP		AB449052	AB449032							AB449058	Bos taurus	Japan				field	Tochigi	blood					
KSB-31/C/01	22422063		AB686221				AB686235					Culicoides	Japan	2001			field	Kagoshima	Culicoides sp.	BHK6	Mammalian			
KSB-6/C/08	22422063, 25597441		AB686225				AB686239					Culicoides	Japan	2008	NOV	4	field	Kagoshima	Culicoides maculatus	BHK5	Mammalian			
KSB-7/C/08	22422063, 25597441		AB686226				AB686240					Culicoides	Japan	2008	OCT	31	field	Kagoshima	Culicoides sp.	BHK5	Mammalian			
KT/05	UP		AB449054	AB449044							AB449059	Bos taurus	Japan				field	Tochigi	blood					
KUW2010/02	22031822	JN255156	HM590642	HM590643	JN255157	JN255158	JN255159	HM590644	JN255160	JN255161	JN255162	Ovis aries	Kuwait	2010	FEB		field	Abdali	blood	E1BHK2	Mammalian			
KY63	22422063		AB686214				AB686228					Bos taurus	Japan	1987			field	Kagoshima	blood	BHK2HmLu-1/4	Mammalian			
la Reunion	15778021		AY485669					AY485667			AY485668		France		AUG		field	la Reunion	blood	E1BHK2	Mammalian			
LAZ2013	25239524	KJ577124	KJ577125	KJ577126	KJ577127	KJ577128	KJ577129	KJ577130	KJ577131	KJ577132	KJ577133	Ovis aries	Italy	2013	SEP	27	field	Viterbo-Lazio	blood	KC1BSR1	Culicoides-Mammalian			
LIB2007/06	26252219	KP820888	KP821008	KP821130	KP821250	KP821370	KP821490	KP821612	KP821732	KP821853	KP821973	Ovis aries	Libya	2007	AUG	2	field	Green Mountain	blood	KC1BHK1	Culicoides-Mammalian			
LIB2008/03	26252219	KP820967	KP821087	KP821209	KP821329	KP821449	KP821569	KP821691	KP821811	KP821931	KP822052	Ovis aries	Libya	2008	SEP		field		blood	KC2	Culicoides sp.			
LIB2008/08	26252219	KP820966	KP821086	KP821208	KP821328	KP821448	KP821568	KP821690	KP821810	KP821930	KP822051	Ovis aries	Libya	2008	SEP		field		blood	KC1BHK1	Culicoides-Mammalian			
M10	UP		DQ462580										India				field	Mahboobnagar-Andhara Pradesh		BHK?	Mammalian			
M10/MBN/2005	UP							JQ414047			JQ424788	Ovis aries	India				field							
M11	UP						JF815523					Ovis aries	India		SEP	7	field		blood					
M11/MBN/2005	UP		JQ414046				JQ414051	JQ414048			JQ424789	Ovis aries	India				field							
M2-1, M2-2	1318625						X55359						USA											
MA16/03	UP		AB449050	AB449022							AB449056	Bos taurus	Japan				field	Tochigi	blood					
MA20/05	UP			AB449033								Bos taurus	Japan				field	Tochigi	blood					
Mahaboob Nagar	UP		EU427465									Ovis aries	India				field	Andhra Pradesh	blood	BHK?	Mammalian			
Mandiko/1999	16283915		DQ191277									Ovis aries	Greece	1999			field	Rhodes		E?V?	Mammalian			
MAR2004	16566253					DQ098092							Morocco	2004										
Mauritania/2013	26932578										KU523928	Bos taurus	Mauritania	2013	MAR	30	field	Nouakchott	blood					
MAY1987/01	20422575		AJ585116										Malaysia	1987			field	Kuala Lumpur						
MAY1987/01	19649272			DQ186816									Malaysia	1987	APR		field	Kuala Lumpur		E1BHK5	Mammalian			
MBN	22258368		JF443156									Ovis aries	India				field	Mahaboobnagar-Andhra Pradesh		E3BHK?	Mammalian			
MBN-10/2013	29120083		KY947349									Ovis aries	India	2013	AUG		field	Telangana	blood	KC?BHK?	Culicoides-Mammalian	yes		
MBN48/IND	UP		JN106020									Ovis aries	India		NOV		field	Mahaboobnagar-Andhra Pradesh	blood					
MBN50/IND	UP		JN106021									Ovis aries	India		NOV		field	Andhra Pradesh	blood					
MD10/05	UP			AB449034								Bos taurus	Japan				field	Tochigi	blood					
MDR-05/2013	29120083		KY947350									Ovis aries	India	2013	SEP		field	Telangana	blood	KC?BHK?	Culicoides-Mammalian	yes		
Meerut 01/India/2010	UP		KC954625									Bos taurus	India		OCT		field		blood					
Mehaboobnagar9/2002	UP		DQ872902			DQ521598		DQ399836				Ovis aries	India	2002			field	Sudheer-Mehaboobnagar-Andhra Pradesh						
MF27/05	UP		AB449053	AB449035								Bos taurus	Japan				field	Tochigi	blood					
MKD 18/India/2008	20842392		HM014236									Capra aegagrus hircus	India	2008	JUN		field	Mathura-Uttar Pradesh	blood	BHK?	Mammalian			
MKD 23/08/IND	UP					KF289015						Capra aegagrus hircus	India				field		blood					
MKD18/IND	UP		JQ037800									Capra aegagrus hircus	India				field		blood					
MKD19/08/Ind	25703157		KF563938									Capra aegagrus hircus	India				field	Mathura-Uttar Pradesh	blood					
MKD19/IND	UP		JQ037801									Capra aegagrus hircus	India				field		blood					
MKD20/08/Ind	27266632	KU234257	KU234258	KU234259	KU234260	KU234261	KU234262	KU234263	KU234264	KU234265	KU234266	Capra aegagrus hircus	India	2008			field	Mathura-Uttar Pradesh	blood					
MKD20/08/Ind	25703157		KF563939									Capra aegagrus hircus	India				field	Mathura-Uttar Pradesh	blood					
MKD20/IND	UP		JQ037802									Capra aegagrus hircus	India				field		blood					
MKD21/08/Ind	25703157		KF563940									Capra aegagrus hircus	India				field	Mathura-Uttar Pradesh	blood					
MKD21/IND	UP		JQ037803									Capra aegagrus hircus	India				field		blood					
MKD22/08/Ind	25703157		KF563941									Capra aegagrus hircus	India				field	Mathura-Uttar Pradesh	blood					
MKD22/IND	UP		JQ037804									Capra aegagrus hircus	India				field		blood					
MKD23/08/Ind	25703157		KF563942									Capra aegagrus hircus	India				field	Mathura-Uttar Pradesh	blood					
MKD23/IND	UP		JQ037805									Capra aegagrus hircus	India				field		blood					
MKD24/08/Ind	25703157		KF563943									Capra aegagrus hircus	India				field	Mathura-Uttar Pradesh	blood					
MKD24/IND	UP		JQ037806									Capra aegagrus hircus	India				field		blood					
MKD25/08/Ind	25703157		KF563944									Capra aegagrus hircus	India				field	Mathura-Uttar Pradesh	blood					
MKD25/IND	UP		JQ037807									Capra aegagrus hircus	India				field		blood					
MMR-06/2013	29120083		KY947351									Ovis aries	India	2013	AUG		field	Telangana	blood	KC?BHK?	Culicoides-Mammalian	yes		
MOR2004/02	26252219	KP820941	KP821061	KP821183	KP821303	KP821423	KP821543	KP821665	KP821785	KP821905	KP822026	Ovis aries	Morocco	2004	SEP		field	El Kebir	blood	E1BHK4	Mammalian			
MOR2004/02	19649272			DQ186817								Ovis aries	Morocco	2004	SEP		field	El Kebir	blood	E1BHK4	Mammalian			
MOR2006/06	26252219	KP820889	KP821009	KP821131	KP821251	KP821371	KP821491	KP821613	KP821733	KP821854	KP821974	Ovis aries	Morocco	2006	OCT		field	Guenfouda-Oujda	blood	E1BSR4BHK2	Mammalian			
MOR2006/06	18570969		EU625362				EU422953					Ovis aries	Morocco	2006	OCT		field	Guenfouda-Oujda	blood	E1BSR4BHK2	Mammalian			
MOR2007/01	26252219	KP820890	KP821010	KP821132	KP821252	KP821372	KP821492	KP821614	KP821734	KP821855	KP821975	Ovis aries	Morocco	2007	JUL	2	field	Khouribga	blood	KC1	Culicoides sp.			
MOR2007/02	26252219	KP820891	KP821011	KP821133	KP821253	KP821373	KP821493	KP821615	KP821735	KP821856	KP821976	Ovis aries	Morocco	2007	JUL	19	field	Settat	blood	KC1	Culicoides sp.			
MOR2007/03	26252219	KP820892	KP821012	KP821134	KP821254	KP821374	KP821494	KP821616	KP821736	KP821857	KP821977	Ovis aries	Morocco	2007	JUL	2	field	Rabat	blood	KC1	Culicoides sp.			
MOR2007/04	26252219	KP820893	KP821013	KP821135	KP821255	KP821375	KP821495	KP821617	KP821737	KP821858	KP821978	Ovis aries	Morocco	2007	JUL	2	field	Kenitra	blood	KC1	Culicoides sp.			
MOR2009/01	26252219	KP820894	KP821014	KP821136	KP821256	KP821376	KP821496	KP821618	KP821738	KP821859	KP821979	Ovis aries	Morocco	2009	SEP	18	field	Fes	blood	KC1	Culicoides sp.			
MOR2009/04	26252219	KP820895	KP821016	KP821138	KP821257	KP821377	KP821498	KP821620	KP821740	KP821861	KP821981	Ovis aries	Morocco	2009	SEP	25	field	Fes	blood	KC1	Culicoides sp.			
