sequence_id	gb_primary_accession	gb_locus	gb_segment	gb_segment_corrected	gb_isolate	gb_isolate_corrected	gb_host	gb_host_corrected	gb_country	gb_country_corrected	gb_collection_year	gb_collection_year_corrected	gb_collection_month	gb_collection_month_corrected	gb_collection_month_day	gb_collection_month_day_corrected	gb_serotype	gb_serotype_corrected
JX272397	JX272397	JX272397	9		84/184				South Africa									
JX272398	JX272398	JX272398	10		84/184				South Africa									
JX272399	JX272399	JX272399	1		5268/5				South Africa									
JX272400	JX272400	JX272400	2		5268/5				South Africa									
JX272401	JX272401	JX272401	3		5268/5				South Africa									
JX272402	JX272402	JX272402	4		5268/5				South Africa									
JX272403	JX272403	JX272403	5		5268/5				South Africa									
JX272404	JX272404	JX272404	6		5268/5				South Africa									
JX272405	JX272405	JX272405	7		5268/5				South Africa									
JX272406	JX272406	JX272406	8		5268/5				South Africa									
JX272407	JX272407	JX272407	9		5268/5				South Africa									
JX272408	JX272408	JX272408	10		5268/5				South Africa									
JX272409	JX272409	JX272409	1		CSIRO 154				South Africa									
JX272410	JX272410	JX272410	2		CSIRO 154				South Africa									
JX272411	JX272411	JX272411	3		CSIRO 154				South Africa									
JX272412	JX272412	JX272412	4		CSIRO 154				South Africa									
JX272413	JX272413	JX272413	5		CSIRO 154				South Africa									
JX272414	JX272414	JX272414	6		CSIRO 154				South Africa									
JX272415	JX272415	JX272415	7		CSIRO 154				South Africa									
JX272416	JX272416	JX272416	8		CSIRO 154				South Africa									
JX272417	JX272417	JX272417	9		CSIRO 154				South Africa									
JX272418	JX272418	JX272418	10		CSIRO 154				South Africa									
JX272419	JX272419	JX272419	1		BT71/77				South Africa									
JX272420	JX272420	JX272420	2		BT71/77				South Africa									
JX272421	JX272421	JX272421	3		BT71/77				South Africa									
JX272422	JX272422	JX272422	4		BT71/77				South Africa									
JX272423	JX272423	JX272423	5		BT71/77				South Africa									
JX272424	JX272424	JX272424	6		BT71/77				South Africa									
JX272425	JX272425	JX272425	7		BT71/77				South Africa									
JX272426	JX272426	JX272426	8		BT71/77				South Africa									
JX272427	JX272427	JX272427	9		BT71/77				South Africa									
JX272428	JX272428	JX272428	10		BT71/77				South Africa									
JX272429	JX272429	JX272429	1		25-2				South Africa									
JX272430	JX272430	JX272430	2		25-2				South Africa									
JX272431	JX272431	JX272431	3		25-2				South Africa									
JX272432	JX272432	JX272432	4		25-2				South Africa									
JX272433	JX272433	JX272433	5		25-2				South Africa									
JX272434	JX272434	JX272434	6		25-2				South Africa									
JX272435	JX272435	JX272435	7		25-2				South Africa									
JX272436	JX272436	JX272436	8		25-2				South Africa									
JX272437	JX272437	JX272437	9		25-2				South Africa									
JX272438	JX272438	JX272438	10		25-2				South Africa									
JX272439	JX272439	JX272439	1		BT32/76				South Africa									
JX272440	JX272440	JX272440	2		BT32/76				South Africa									
JX272441	JX272441	JX272441	3		BT32/76				South Africa									
JX272442	JX272442	JX272442	4		BT32/76				South Africa									
JX272443	JX272443	JX272443	5		BT32/76				South Africa									
JX272444	JX272444	JX272444	6		BT32/76				South Africa									
JX272445	JX272445	JX272445	7		BT32/76				South Africa									
JX272446	JX272446	JX272446	8		BT32/76				South Africa									
JX272447	JX272447	JX272447	9		BT32/76				South Africa									
JX272448	JX272448	JX272448	10		BT32/76				South Africa									
JX272449	JX272449	JX272449	1		S7668				South Africa									
JX272450	JX272450	JX272450	2		S7668				South Africa									
JX272451	JX272451	JX272451	3		S7668				South Africa									
JX272452	JX272452	JX272452	4		S7668				South Africa									
JX272453	JX272453	JX272453	5		S7668				South Africa									
JX272454	JX272454	JX272454	6		S7668				South Africa									
JX272455	JX272455	JX272455	7		S7668				South Africa									
JX272456	JX272456	JX272456	8		S7668				South Africa									
JX272457	JX272457	JX272457	9		S7668				South Africa									
JX272458	JX272458	JX272458	10		S7668				South Africa									
JX272459	JX272459	JX272459	1		7766				South Africa									
JX272460	JX272460	JX272460	2		7766				South Africa									
JX272461	JX272461	JX272461	3		7766				South Africa									
JX272462	JX272462	JX272462	4		7766				South Africa									
JX272463	JX272463	JX272463	5		7766				South Africa									
JX272464	JX272464	JX272464	6		7766				South Africa									
JX272465	JX272465	JX272465	7		7766				South Africa									
JX272466	JX272466	JX272466	8		7766				South Africa									
JX272467	JX272467	JX272467	9		7766				South Africa									
JX272468	JX272468	JX272468	10		7766				South Africa									
JX272469	JX272469	JX272469	1		23/08/65				South Africa									
JX272470	JX272470	JX272470	2		23/08/65				South Africa									
JX272471	JX272471	JX272471	3		23/08/65				South Africa									
JX272472	JX272472	JX272472	4		23/08/65				South Africa									
JX272473	JX272473	JX272473	5		23/08/65				South Africa									
JX272474	JX272474	JX272474	6		23/08/65				South Africa									
JX272475	JX272475	JX272475	7		23/08/65				South Africa									
JX272476	JX272476	JX272476	8		23/08/65				South Africa									
JX272477	JX272477	JX272477	9		23/08/65				South Africa									
JX272478	JX272478	JX272478	10		23/08/65				South Africa									
JX272479	JX272479	JX272479	1		BT87/59				South Africa									
JX272480	JX272480	JX272480	2		BT87/59				South Africa									
JX272481	JX272481	JX272481	3		BT87/59				South Africa									
JX272482	JX272482	JX272482	4		BT87/59				South Africa									
JX272483	JX272483	JX272483	5		BT87/59				South Africa									
JX272484	JX272484	JX272484	6		BT87/59				South Africa									
JX272485	JX272485	JX272485	7		BT87/59				South Africa									
JX272486	JX272486	JX272486	8		BT87/59				South Africa									
JX272487	JX272487	JX272487	9		BT87/59				South Africa									
JX272488	JX272488	JX272488	10		BT87/59				South Africa									
JX272489	JX272489	JX272489	1		160				South Africa									
JX272490	JX272490	JX272490	2		160				South Africa									
JX272491	JX272491	JX272491	3		160				South Africa									
JX272492	JX272492	JX272492	4		160				South Africa									
JX272493	JX272493	JX272493	5		160				South Africa									
JX272494	JX272494	JX272494	6		160				South Africa									
JX272495	JX272495	JX272495	7		160				South Africa									
JX272496	JX272496	JX272496	8		160				South Africa									
JX272497	JX272497	JX272497	9		160				South Africa									
JX272498	JX272498	JX272498	10		160				South Africa									
JX272499	JX272499	JX272499	1		75005				South Africa									
JX272500	JX272500	JX272500	2		75005				South Africa									
JX272501	JX272501	JX272501	3		75005				South Africa									
JX272502	JX272502	JX272502	4		75005				South Africa									
JX272503	JX272503	JX272503	5		75005				South Africa									
JX272504	JX272504	JX272504	6		75005				South Africa									
JX272505	JX272505	JX272505	7		75005				South Africa									
JX272506	JX272506	JX272506	8		75005				South Africa									
JX272507	JX272507	JX272507	9		75005				South Africa									
JX272508	JX272508	JX272508	10		75005				South Africa									
JX272509	JX272509	JX272509	1		4574				South Africa									
JX272510	JX272510	JX272510	2		4574				South Africa									
JX272511	JX272511	JX272511	3		4574				South Africa									
JX272512	JX272512	JX272512	4		4574				South Africa									
JX272513	JX272513	JX272513	5		4574				South Africa									
JX272514	JX272514	JX272514	6		4574				South Africa									
JX272515	JX272515	JX272515	7		4574				South Africa									
JX272516	JX272516	JX272516	8		4574				South Africa									
JX272517	JX272517	JX272517	9		4574				South Africa									
JX272518	JX272518	JX272518	10		4574				South Africa									
JX272519	JX272519	JX272519	1		2627				South Africa									
JX272520	JX272520	JX272520	2		2627				South Africa									
JX272521	JX272521	JX272521	3		2627				South Africa									
JX272522	JX272522	JX272522	4		2627				South Africa									
JX272523	JX272523	JX272523	5		2627				South Africa									
JX272524	JX272524	JX272524	6		2627				South Africa									
JX272525	JX272525	JX272525	7		2627				South Africa									
JX272526	JX272526	JX272526	8		2627				South Africa									
JX272527	JX272527	JX272527	9		2627				South Africa									
JX272528	JX272528	JX272528	10		2627				South Africa									
JX272529	JX272529	JX272529	1		2766				South Africa									
JX272530	JX272530	JX272530	2		2766				South Africa									
JX272531	JX272531	JX272531	3		2766				South Africa									
JX272532	JX272532	JX272532	4		2766				South Africa									
JX272533	JX272533	JX272533	5		2766				South Africa									
JX272534	JX272534	JX272534	6		2766				South Africa									
JX272535	JX272535	JX272535	7		2766				South Africa									
JX272536	JX272536	JX272536	8		2766				South Africa									
JX272537	JX272537	JX272537	9		2766				South Africa									
JX272538	JX272538	JX272538	10		2766				South Africa									
JX272539	JX272539	JX272539	1		8438				South Africa									
JX272540	JX272540	JX272540	2		8438				South Africa									
JX272541	JX272541	JX272541	3		8438				South Africa									
JX272542	JX272542	JX272542	4		8438				South Africa									
JX272543	JX272543	JX272543	5		8438				South Africa									
JX272544	JX272544	JX272544	6		8438				South Africa									
JX272545	JX272545	JX272545	7		8438				South Africa									
JX272546	JX272546	JX272546	8		8438				South Africa									
JX272547	JX272547	JX272547	9		8438				South Africa									
JX272548	JX272548	JX272548	10		8438				South Africa									
JX272549	JX272549	JX272549	1		1504				South Africa									
JX272550	JX272550	JX272550	2		1504				South Africa									
JX272551	JX272551	JX272551	3		1504				South Africa									
JX272552	JX272552	JX272552	4		1504				South Africa									
JX272553	JX272553	JX272553	5		1504				South Africa									
JX272554	JX272554	JX272554	6		1504				South Africa									
JX272555	JX272555	JX272555	7		1504				South Africa									
JX272556	JX272556	JX272556	8		1504				South Africa									
JX272557	JX272557	JX272557	9		1504				South Africa									
JX272558	JX272558	JX272558	10		1504				South Africa									
JX272559	JX272559	JX272559	1		5011				South Africa									
JX272560	JX272560	JX272560	2		5011				South Africa									
JX272561	JX272561	JX272561	3		5011				South Africa									
JX272562	JX272562	JX272562	4		5011				South Africa									
JX272563	JX272563	JX272563	5		5011				South Africa									
JX272564	JX272564	JX272564	6		5011				South Africa									
JX272565	JX272565	JX272565	7		5011				South Africa									
JX272566	JX272566	JX272566	8		5011				South Africa									
JX272567	JX272567	JX272567	9		5011				South Africa									
JX272568	JX272568	JX272568	10		5011				South Africa									
JX272569	JX272569	JX272569	1		4868				South Africa									
JX272570	JX272570	JX272570	2		4868				South Africa									
JX272571	JX272571	JX272571	3		4868				South Africa									
JX272572	JX272572	JX272572	4		4868				South Africa									
JX272573	JX272573	JX272573	5		4868				South Africa									
JX272574	JX272574	JX272574	6		4868				South Africa									
JX272575	JX272575	JX272575	7		4868				South Africa									
JX272576	JX272576	JX272576	8		4868				South Africa									
JX272577	JX272577	JX272577	9		4868				South Africa									
JX272578	JX272578	JX272578	10		4868				South Africa									
JX272579	JX272579	JX272579	1		79043					South Africa								
JX272580	JX272580	JX272580	2		79043					South Africa								
JX272581	JX272581	JX272581	3		79043					South Africa								
JX272582	JX272582	JX272582	4		79043					South Africa								
JX272583	JX272583	JX272583	5		79043					South Africa								
JX272584	JX272584	JX272584	6		79043					South Africa								
JX272585	JX272585	JX272585	7		79043					South Africa								
JX272586	JX272586	JX272586	8		79043					South Africa								
JX272587	JX272587	JX272587	9		79043					South Africa								
JX272588	JX272588	JX272588	10		79043					South Africa								
JX272589	JX272589	JX272589	1		8231				South Africa									
JX272590	JX272590	JX272590	2		8231				South Africa									
JX272591	JX272591	JX272591	3		8231				South Africa									
JX272592	JX272592	JX272592	4		8231				South Africa									
JX272593	JX272593	JX272593	5		8231				South Africa									
JX272594	JX272594	JX272594	6		8231				South Africa									
JX272595	JX272595	JX272595	7		8231				South Africa									
JX272596	JX272596	JX272596	8		8231				South Africa									
JX272597	JX272597	JX272597	9		8231				South Africa									
JX272598	JX272598	JX272598	10		8231				South Africa									
JX272599	JX272599	JX272599	1		5036				South Africa									
JX272600	JX272600	JX272600	2		5036				South Africa									
JX272601	JX272601	JX272601	3		5036				South Africa									
JX272602	JX272602	JX272602	4		5036				South Africa									
JX272603	JX272603	JX272603	5		5036				South Africa									
JX272604	JX272604	JX272604	6		5036				South Africa									
JX272605	JX272605	JX272605	7		5036				South Africa									
JX272606	JX272606	JX272606	8		5036				South Africa									
JX272607	JX272607	JX272607	9		5036				South Africa									
JX272608	JX272608	JX272608	10		5036				South Africa									
JX399148	JX399148	JX399148	1		K23/08		Ovis aries		India		2008		SEP		26		1	
JX399149	JX399149	JX399149	2		K23/08		Ovis aries		India		2008		SEP		26		1	
JX399150	JX399150	JX399150	3		K23/08		Ovis aries		India		2008		SEP		26		1	
JX399151	JX399151	JX399151	4		K23/08		Ovis aries		India		2008		SEP		26		1	
JX399152	JX399152	JX399152	5		K23/08		Ovis aries		India		2008		SEP		26		1	
JX399153	JX399153	JX399153	6		K23/08		Ovis aries		India		2008		SEP		26		1	
JX399154	JX399154	JX399154	7		K23/08		Ovis aries		India		2008		SEP		26		1	
JX399155	JX399155	JX399155	8		K23/08		Ovis aries		India		2008		SEP		26		1	
JX399156	JX399156	JX399156	9		K23/08		Ovis aries		India		2008		SEP		26		1	
JX399157	JX399157	JX399157	10		K23/08		Ovis aries		India		2008		SEP		26		1	
JX560413	JX560413	JX560413	1				Bos taurus		China		1997						4	
JX560414	JX560414	JX560414	2				Bos taurus		China		1997						4	
JX560415	JX560415	JX560415	3				Bos taurus		China		1997						4	
JX560416	JX560416	JX560416	4				Bos taurus		China		1997						4	
JX560417	JX560417	JX560417	5				Bos taurus		China		1997						4	
JX560418	JX560418	JX560418	6				Bos taurus		China		1997						4	
JX560419	JX560419	JX560419	7				Bos taurus		China		1997						4	
JX560420	JX560420	JX560420	8				Bos taurus		China		1997						4	
JX560421	JX560421	JX560421	9				Bos taurus		China		1997						4	
JX560422	JX560422	JX560422	10				Bos taurus		China		1997						4	
JX680447	JX680447	JX680447	1														8	
JX680448	JX680448	JX680448	2														8	
JX680449	JX680449	JX680449	3														8	
JX680450	JX680450	JX680450	4														8	
JX680451	JX680451	JX680451	5														8	
JX680452	JX680452	JX680452	6														8	
JX680453	JX680453	JX680453	7														8	
JX680454	JX680454	JX680454	8														8	
JX680455	JX680455	JX680455	9														8	
JX680456	JX680456	JX680456	10														8	
JX680457	JX680457	JX680457	1														1	
JX680458	JX680458	JX680458	2														1	
JX680459	JX680459	JX680459	3														1	
JX680460	JX680460	JX680460	4														1	
JX680461	JX680461	JX680461	5														1	
JX680462	JX680462	JX680462	6														1	
JX680463	JX680463	JX680463	7														1	
JX680464	JX680464	JX680464	8														1	
JX680465	JX680465	JX680465	9														1	
JX680466	JX680466	JX680466	10														1	
JX854018	JX854018	JX854018	2		K1/08		Ovis aries		India		2008							
JX854019	JX854019	JX854019	2		K31/08		Ovis aries		India		2008							
JX854020	JX854020	JX854020	2		K32/08		Ovis aries		India		2008							
JX854021	JX854021	JX854021	2		K34/08		Ovis aries		India		2008							
JX861487	JX861487	JX861487	10		FRA2007/18		Ovis aries		France		2007						1	
JX861488	JX861488	JX861488	1		FRA2007/18		Ovis aries		France		2007						1	
JX861489	JX861489	JX861489	2		FRA2007/18		Ovis aries		France		2007						1	
JX861490	JX861490	JX861490	3		FRA2007/18		Ovis aries		France		2007						1	
JX861491	JX861491	JX861491	4		FRA2007/18		Ovis aries		France		2007						1	
JX861492	JX861492	JX861492	5		FRA2007/18		Ovis aries		France		2007						1	
JX861493	JX861493	JX861493	6		FRA2007/18		Ovis aries		France		2007						1	
JX861494	JX861494	JX861494	7		FRA2007/18		Ovis aries		France		2007						1	
JX861495	JX861495	JX861495	8		FRA2007/18		Ovis aries		France		2007						1	
JX861496	JX861496	JX861496	9		FRA2007/18		Ovis aries		France		2007						1	
JX861497	JX861497	JX861497	10		FRA2008/24		Bos taurus		France		2008						1	
JX861498	JX861498	JX861498	1		FRA2008/24		Bos taurus		France		2008						1	
JX861499	JX861499	JX861499	2		FRA2008/24		Bos taurus		France		2008						1	
JX861500	JX861500	JX861500	3		FRA2008/24		Bos taurus		France		2008						1	
JX861501	JX861501	JX861501	4		FRA2008/24		Bos taurus		France		2008						1	
JX861502	JX861502	JX861502	5		FRA2008/24		Bos taurus		France		2008						1	
JX861503	JX861503	JX861503	6		FRA2008/24		Bos taurus		France		2008						1	
JX861504	JX861504	JX861504	7		FRA2008/24		Bos taurus		France		2008						1	
JX861505	JX861505	JX861505	8		FRA2008/24		Bos taurus		France		2008						1	
JX861506	JX861506	JX861506	9		FRA2008/24		Bos taurus		France		2008						1	
JX889171	JX889171	JX889171	5		BTV24/2214/1/10		Ovis aries		Israel		2010						24	
JX889172	JX889172	JX889172	8		BTV24/2214/1/10		Ovis aries		Israel		2010						24	
JX889173	JX889173	JX889173	10		BTV24/2214/1/10		Ovis aries		Israel		2010						24	
JX889174	JX889174	JX889174	1		BTV24/2214/1/10		Ovis aries		Israel		2010						24	
JX889175	JX889175	JX889175	4		BTV24/2214/1/10		Ovis aries		Israel		2010						24	
JX889176	JX889176	JX889176	6		BTV24/2214/1/10		Ovis aries		Israel		2010						24	
JX889177	JX889177	JX889177	5		BTV24/2305/08		Ovis aries		Israel		2008						24	
JX889178	JX889178	JX889178	8		BTV24/2305/08		Ovis aries		Israel		2008						24	
JX889179	JX889179	JX889179	10		BTV24/2305/08		Ovis aries		Israel		2008						24	
JX889180	JX889180	JX889180	1		BTV24/2305/08		Ovis aries		Israel		2008						24	
JX889181	JX889181	JX889181	4		BTV24/2305/08		Ovis aries		Israel		2008						24	
JX889182	JX889182	JX889182	6		BTV24/2305/08		Ovis aries		Israel		2008						24	
JX889183	JX889183	JX889183	5		BTV24/2425/08		Ovis aries		Israel		2008						24	
JX889184	JX889184	JX889184	8		BTV24/2425/08		Ovis aries		Israel		2008						24	
JX889185	JX889185	JX889185	10		BTV24/2425/08		Ovis aries		Israel		2008						24	
JX889186	JX889186	JX889186	1		BTV24/2425/08		Ovis aries		Israel		2008						24	
JX889187	JX889187	JX889187	4		BTV24/2425/08		Ovis aries		Israel		2008						24	
JX889188	JX889188	JX889188	6		BTV24/2425/08		Ovis aries		Israel		2008						24	
JX889189	JX889189	JX889189	5		BTV24/2755/1/10		Ovis aries		Israel		2010						24	
JX889190	JX889190	JX889190	8		BTV24/2755/1/10		Ovis aries		Israel		2010						24	
JX889191	JX889191	JX889191	10		BTV24/2755/1/10		Ovis aries		Israel		2010						24	
JX889192	JX889192	JX889192	1		BTV24/2755/1/10		Ovis aries		Israel		2010						24	
JX889193	JX889193	JX889193	4		BTV24/2755/1/10		Ovis aries		Israel		2010						24	
JX889194	JX889194	JX889194	6		BTV24/2755/1/10		Ovis aries		Israel		2010						24	
JX889195	JX889195	JX889195	9		BTV24/2755/1/10		Ovis aries		Israel		2010						24	
JX889196	JX889196	JX889196	5		BTV24/2944/1/10		Ovis aries		Israel		2010						24	
JX889197	JX889197	JX889197	8		BTV24/2944/1/10		Ovis aries		Israel		2010						24	
JX889198	JX889198	JX889198	10		BTV24/2944/1/10		Ovis aries		Israel		2010						24	
JX889199	JX889199	JX889199	4		BTV24/2944/1/10		Ovis aries		Israel		2010						24	
JX889200	JX889200	JX889200	6		BTV24/2944/1/10		Ovis aries		Israel		2010						24	
JX889201	JX889201	JX889201	5		BTV24/3027/1/10		Ovis aries		Israel		2010						24	
JX889202	JX889202	JX889202	8		BTV24/3027/1/10		Ovis aries		Israel		2010						24	
JX889203	JX889203	JX889203	10		BTV24/3027/1/10		Ovis aries		Israel		2010						24	
JX889204	JX889204	JX889204	4		BTV24/3027/1/10		Ovis aries		Israel		2010						24	
JX889205	JX889205	JX889205	6		BTV24/3027/1/10		Ovis aries		Israel		2010						24	
JX889206	JX889206	JX889206	5		BTV24/3027/6/10		Ovis aries		Israel		2010						24	
JX889207	JX889207	JX889207	8		BTV24/3027/6/10		Ovis aries		Israel		2010						24	
JX889208	JX889208	JX889208	10		BTV24/3027/6/10		Ovis aries		Israel		2010						24	
JX889209	JX889209	JX889209	1		BTV24/3027/6/10		Ovis aries		Israel		2010						24	
JX889210	JX889210	JX889210	4		BTV24/3027/6/10		Ovis aries		Israel		2010						24	
JX889211	JX889211	JX889211	6		BTV24/3027/6/10		Ovis aries		Israel		2010						24	
JX889212	JX889212	JX889212	5		BTV24/3258/1/10		Bos taurus		Israel		2010						24	
JX889213	JX889213	JX889213	8		BTV24/3258/1/10		Bos taurus		Israel		2010						24	
JX889214	JX889214	JX889214	10		BTV24/3258/1/10		Bos taurus		Israel		2010						24	
JX889215	JX889215	JX889215	1		BTV24/3258/1/10		Bos taurus		Israel		2010						24	
JX889216	JX889216	JX889216	4		BTV24/3258/1/10		Bos taurus		Israel		2010						24	
JX889217	JX889217	JX889217	6		BTV24/3258/1/10		Bos taurus		Israel		2010						24	
JX889218	JX889218	JX889218	1		BTV24/2944/1/10		Ovis aries		Israel		2010						24	
JX889219	JX889219	JX889219	2		BTV24/2944/1/10		Ovis aries		Israel		2010						24	
JX965385	JX965385	JX965385			BTV6/12.01		Ovis aries		France		2012						6	
K02369	K02369	BTVL3	3														1	
KC012519	KC012519	KC012519			BT2		Ovis aries		India		2004						2	
KC153300	KC153300	KC153300	2		KorL83915				South Korea		2010						1	
KC633277	KC633277	KC633277			BTV24/11.01(3864)		Bos taurus		France		2011						2	
KC633278	KC633278	KC633278			BTV12/11.01(4136)		Capra hircus		France		2011						12	
KC633279	KC633279	KC633279			BTV2/11.01(3918)		Bos taurus		France		2011						2	
KC662612	KC662612	KC662612	1		INDAPADBNMO1/11		Ovis aries		India		2011		SEP		10		12	
KC662613	KC662613	KC662613	2		INDAPADBNMO1/11		Ovis aries		India		2011		SEP		10		12	
KC662614	KC662614	KC662614	3		INDAPADBNMO1/11		Ovis aries		India		2011		SEP		10		12	
KC662615	KC662615	KC662615	4		INDAPADBNMO1/11		Ovis aries		India		2011		SEP		10		12	
KC662616	KC662616	KC662616	5		INDAPADBNMO1/11		Ovis aries		India		2011		SEP		10		12	
KC662617	KC662617	KC662617	6		INDAPADBNMO1/11		Ovis aries		India		2011		SEP		10		12	
KC662618	KC662618	KC662618	7		INDAPADBNMO1/11		Ovis aries		India		2011		SEP		10		12	
KC662619	KC662619	KC662619	8		INDAPADBNMO1/11		Ovis aries		India		2011		SEP		10		12	
KC662620	KC662620	KC662620	9		INDAPADBNMO1/11		Ovis aries		India		2011		SEP		10		12	
KC662621	KC662621	KC662621	10		INDAPADBNMO1/11		Ovis aries		India		2011		SEP		10		12	
KC706456	KC706456	KC706456			Hisar		Ovis aries		India								16	
KC751419	KC751419	KC751419	2		INDAPNLRVC07/10		Ovis aries		India								16	
KC751420	KC751420	KC751420	2		INDAPNLRVC12/10		Ovis aries		India								1	
KC751421	KC751421	KC751421	2		INDAPKRM07/10		Ovis aries		India								1	
KC751422	KC751422	KC751422	2		INDAPKRM08/10		Ovis aries		India								2	
KC751423	KC751423	KC751423	2		INDAPMBNAP04/10		Ovis aries		India								16	
KC751424	KC751424	KC751424	2		INDAPMBNAO06/10		Ovis aries		India								16	
KC751425	KC751425	KC751425	2		INDAPADBNR82/11		Ovis aries		India								16	
KC853052	KC853052	KC853052							Nigeria		1982						16	
KC853053	KC853053	KC853053							Nigeria		1982						16	
KC853054	KC853054	KC853054							Nigeria		1982						16	
KC853055	KC853055	KC853055							Nigeria		1982						16	
KC853056	KC853056	KC853056							Nigeria		1982						16	
KC853057	KC853057	KC853057							Nigeria		1982						16	
KC853058	KC853058	KC853058							Nigeria		1982						16	
KC879615	KC879615	KC879615	1				Ovis aries		China		1979						1	
KC879616	KC879616	KC879616	2				Ovis aries		China		1979						1	
KC879617	KC879617	KC879617	3				Ovis aries		China		1979						1	
KC879618	KC879618	KC879618	4				Ovis aries		China		1979						1	
KC879619	KC879619	KC879619	5				Ovis aries		China		1979						1	
KC879620	KC879620	KC879620	6				Ovis aries		China		1979						1	
KC879621	KC879621	KC879621	7				Ovis aries		China		1979						1	
KC879622	KC879622	KC879622	8				Ovis aries		China		1979						1	
KC879623	KC879623	KC879623	9				Ovis aries		China		1979						1	
KC879624	KC879624	KC879624	10				Ovis aries		China		1979						1	
KC896844	KC896844	KC896844	5		BTV-1 SAD2006		Ovis aries		Italy		2006							
KC896845	KC896845	KC896845	5		BTV-1 SAD2010		Ovis aries		Italy		2010							
KC896846	KC896846	KC896846	5		BTV-4 TUN2007		Ovis aries		Tunisia		2007							
KC896847	KC896847	KC896847	5		BTV-4 TUN2009		Ovis aries		Tunisia		2009							
KC896848	KC896848	KC896848	5		BTV-1 ALG2007		Ovis aries		Algeria		2007							
KC896849	KC896849	KC896849	5		BTV-1 MOR2007		Ovis aries		Morocco		2007							
KC896850	KC896850	KC896850	5		BTV-1 SAD2012		Ovis aries		Italy		2012							
KC896851	KC896851	KC896851	5		BTV-4 SAD2012		Ovis aries		Italy		2012							
KC896852	KC896852	KC896852	10		BTV1 SAD2012		Ovis aries		Italy		2012							
KC896853	KC896853	KC896853	10		BTV4 SAD2012		Ovis aries		Italy		2012							
KC924402	KC924402	KC924402			TR-Afyon2012		Ovis aries		Turkey		2012		OCT		1			
KC954625	KC954625	KC954625	2		Meerut 01/India/2010		Bos taurus		India		2010						1	
KF017477	KF017477	KF017477			BTV/1152/2/12		Bos taurus		Israel		2012		FEB		19			
KF017478	KF017478	KF017478			BTV4/1927/2/11		Ovis aries		Israel		2011		SEP		21			
KF017479	KF017479	KF017479			BTV2/2177/12		Ovis aries		Israel		2012		DEC		17			
KF017480	KF017480	KF017480			BTV2/870/10		Bos taurus		Israel		2011		JAN		20		2	
KF017481	KF017481	KF017481			BTV2/1431/1/11		Bos taurus		Israel		2011		MAY		26		2	
KF017482	KF017482	KF017482			BTV2/1745/4/11		Bos taurus		Israel		2011		AUG		8		2	
KF017483	KF017483	KF017483			BTV2/1822/11		Bos taurus		Israel		2011		AUG		30		2	
KF017484	KF017484	KF017484			BTV2/1843/11		Bos taurus		Israel		2011		AUG		30		2	
KF017485	KF017485	KF017485			BTV2/1841/3/12		Bos taurus		Israel		2012		SEP		20		2	
KF017486	KF017486	KF017486			BTV2/1848/2/12		Ovis aries		Israel								2	
KF017487	KF017487	KF017487			BTV2/1850/2/12		Ovis aries		Israel								2	
KF017488	KF017488	KF017488			BTV2/1855/1/12		Ovis aries		Israel								2	
KF017489	KF017489	KF017489			BTV2/1886/2/12		Ovis aries		Israel		2012		OCT		9		2	
KF017490	KF017490	KF017490			BTV2/1947/10/12		Bos taurus		Israel		2012		OCT		20		2	
KF017491	KF017491	KF017491			BTV2/2054/11		Ovis aries		Israel		2011		NOV		10		2	
KF017492	KF017492	KF017492			BTV2/3121/1/10		Bos taurus		Israel		2010		NOV		28		2	
KF017493	KF017493	KF017493			BTV2/3143/2/10		Taurotragus oryx		Israel		2010		NOV		30		2	
KF017494	KF017494	KF017494			BTV4/1035/10		Bos taurus		Israel		2010		JAN		17		4	
KF017495	KF017495	KF017495			BTV4/1047/10		Bos taurus		Israel		2010		JAN		17		4	
KF017496	KF017496	KF017496			BTV4/1855/2/12		Ovis aries		Israel								4	
KF017497	KF017497	KF017497			BTV4/1872/4/12		Bos taurus		Israel		2012		OCT		7		4	
KF017498	KF017498	KF017498			BTV4/1884/3/12		Ovis aries		Israel		2012		OCT		9		4	
KF017499	KF017499	KF017499			BTV4/2044/11		Ovis aries		Israel		2011		NOV		9		4	
KF017500	KF017500	KF017500			BTV4/2180/1/12		Ovis aries		Israel		2012		DEC		17		4	
KF017501	KF017501	KF017501			BTV4/2196/10		Ovis aries		Israel								4	
KF017502	KF017502	KF017502			BTV4/2944/2/10		Ovis aries		Israel		2011		NOV		7		4	
KF017503	KF017503	KF017503			BTV4/3020/10		Bos taurus		Israel		2010		NOV		14		4	
KF017504	KF017504	KF017504			BTV8/1206/10		Bos taurus		Israel		2010		FEB		16		8	
KF017505	KF017505	KF017505			BTV8/1957/1/10		Bos taurus		Israel		2010		JUL		28		8	
KF017506	KF017506	KF017506			BTV8/2089/2/10		Ovis aries		Israel		2010		AUG		30		8	
KF017507	KF017507	KF017507			BTV8/2120/10		Bos taurus		Israel								8	
KF017508	KF017508	KF017508			BTV8/2646/3/10		Ovis aries		Israel								8	
KF017509	KF017509	KF017509			BTV8/3027/2/10		Ovis aries		Israel		2010		OCT		14		8	
KF017510	KF017510	KF017510			BTV12/2078/11		Bos taurus		Israel		2011		DEC		16		12	
KF017511	KF017511	KF017511			BTV12/2688/10		Bos taurus		Israel		2010		OCT		5		12	
