sequence_id	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells	pmid_reference	alt_reference	alt_reference_url
JQ970450	field			E1-3BHK?V?	Mammalian			
JQ970451	field			E1-3BHK?V?	Mammalian			
JQ970452	field			E1-3BHK?V?	Mammalian			
JQ970453	field			E1-3BHK?V?	Mammalian			
JQ970454	field			E1-3BHK?V?	Mammalian			
JQ970455	field			E1-3BHK?V?	Mammalian			
JQ970456	field			E1-3BHK?V?	Mammalian			
JQ970457	field			E1-3BHK?V?	Mammalian			
JQ970458	field			E1-3BHK?V?	Mammalian			
JQ970459	field			E1-3BHK?V?	Mammalian			
JQ970460	field			E1-3BHK?V?	Mammalian			
JQ970461	field			E1-3BHK?V?	Mammalian			
JQ970462	field			E1-3BHK?V?	Mammalian			
JQ970463	field			E1-3BHK?V?	Mammalian			
JQ970464	field			E1-3BHK?V?	Mammalian			
JQ970465	field			E1-3BHK?V?	Mammalian			
JQ970466	field			E1-3BHK?V?	Mammalian			
JQ970467	field			E1-3BHK?V?	Mammalian			
JQ970468	field			E1-3BHK?V?	Mammalian			
JQ970469	field			E1-3BHK?V?	Mammalian			
JQ972831	reference					24750582		
JQ972832	reference					24750582		
JQ972833	reference					24750582		
JQ972834	reference					24750582		
JQ972835	reference					24750582		
JQ972836	reference					24750582		
JQ972837	reference					24750582		
JQ972838	reference					24750582		
JQ972839	reference					24750582		
JQ972840	reference					24750582		
JQ972841	vaccine					24750582		
JQ972842	vaccine					24750582		
JQ972843	vaccine					24750582		
JQ972844	vaccine					24750582		
JQ972845	vaccine					24750582		
JQ972846	vaccine					24750582		
JQ972847	vaccine					24750582		
JQ972848	vaccine					24750582		
JQ972849	vaccine					24750582		
JQ972850	vaccine					24750582		
JQ972851	field					24750582		
JQ972852	field					24750582		
JQ972853	field					24750582		
JQ972854	field					24750582		
JQ972855	field					24750582		
JQ972856	field					24750582		
JQ972857	field					24750582		
JQ972858	field					24750582		
JQ972859	field					24750582		
JQ972860	field					24750582		
JQ972861	field		blood			24750582		
JQ972862	field		blood			24750582		
JQ972863	field		blood			24750582		
JQ972864	field		blood			24750582		
JQ972865	field		blood			24750582		
JQ972866	field		blood			24750582		
JQ972867	field		blood			24750582		
JQ972868	field		blood			24750582		
JQ972869	field		blood			24750582		
JQ972870	field		blood			24750582		
JX003687	field	Andhra Pradesh	spleen			22787266		
JX003688	field	Andhra Pradesh	spleen			22787266		
JX003689	field	Andhra Pradesh	spleen			22787266		
JX003690	field	Andhra Pradesh	spleen			22787266		
JX003691	field	Andhra Pradesh	spleen			22787266		
JX003692	field	Andhra Pradesh	spleen			22787266		
JX003693	field	Andhra Pradesh	spleen			22787266		
JX003694	field	Andhra Pradesh	spleen			22787266		
JX003695	field	Andhra Pradesh	spleen			22787266		
JX003696	field	Andhra Pradesh	spleen			22787266		
JX007923	field		blood					
JX007924	field		blood					
JX007925	field		blood					
JX007926	field		blood					
JX007927	field		blood					
JX007928	field		blood					
JX007929	field		blood					
JX007930	field		blood					
JX007931	field		blood					
JX024940	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024941	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024942	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024943	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024944	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024945	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024946	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024947	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024948	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024949	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024950	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024951	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024952	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024953	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024954	field	Corrientes	blood	BHK3	Mammalian	23152367		
JX024955	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian	23152367		
JX024956	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian	23152367		
JX024957	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian	23152367		
JX024958	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian	23152367		
JX024959	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian	23152367		
JX024960	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian	23152367		
JX024961	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian	23152367		
JX024962	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian	23152367		
JX024963	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian	23152367		
JX024964	field	Corrientes	blood	CRL1660 2BHK3	Aedes albopictus-Mammalian	23152367		
JX101694	field	Sardarkrushinagar-Gujarat	spleen aborted fetus					
JX101695	field	Sardarkrushinagar-Gujarat	spleen aborted fetus					
JX129381	reference	Hazara-West Pakistan		E2BHK9	Mammalian	22923810		
JX129382	reference	Hazara-West Pakistan		E2BHK9	Mammalian	22923810		
JX129383	reference	Hazara-West Pakistan		E2BHK9	Mammalian	22923810		
JX129384	reference	Hazara-West Pakistan		E2BHK9	Mammalian	22923810		
JX129385	reference	Hazara-West Pakistan		E2BHK9	Mammalian	22923810		
JX129386	reference	Hazara-West Pakistan		E2BHK9	Mammalian	22923810		
JX272369								
JX272370								
JX272371								
JX272372								
JX272373								
JX272374								
JX272375								
JX272376								
JX272377								
JX272378								
JX272379								
JX272380								
JX272381								
JX272382								
JX272383								
JX272384								
JX272385								
JX272386								
JX272387								
JX272388								
JX272389								
JX272390								
JX272391								
JX272392								
JX272393								
JX272394								
JX272395								
JX272396								
JX272397								
JX272398								
JX272399								
JX272400								
JX272401								
JX272402								
JX272403								
JX272404								
JX272405								
JX272406								
JX272407								
JX272408								
JX272409								
JX272410								
JX272411								
JX272412								
JX272413								
JX272414								
JX272415								
JX272416								
JX272417								
JX272418								
JX272419								
JX272420								
JX272421								
JX272422								
JX272423								
JX272424								
JX272425								
JX272426								
JX272427								
JX272428								
JX272429								
JX272430								
JX272431								
JX272432								
JX272433								
JX272434								
JX272435								
JX272436								
JX272437								
JX272438								
JX272439								
JX272440								
JX272441								
JX272442								
JX272443								
JX272444								
JX272445								
JX272446								
JX272447								
JX272448								
JX272449								
JX272450								
JX272451								
JX272452								
JX272453								
JX272454								
JX272455								
JX272456								
JX272457								
JX272458								
JX272459								
JX272460								
JX272461								
JX272462								
JX272463								
JX272464								
JX272465								
JX272466								
JX272467								
JX272468								
JX272469								
JX272470								
JX272471								
JX272472								
JX272473								
JX272474								
JX272475								
JX272476								
JX272477								
JX272478								
JX272479								
JX272480								
JX272481								
JX272482								
JX272483								
JX272484								
JX272485								
JX272486								
JX272487								
JX272488								
JX272489								
JX272490								
JX272491								
JX272492								
JX272493								
JX272494								
JX272495								
JX272496								
JX272497								
JX272498								
JX272499								
JX272500								
JX272501								
JX272502								
JX272503								
JX272504								
JX272505								
JX272506								
JX272507								
JX272508								
JX272509								
JX272510								
JX272511								
JX272512								
JX272513								
JX272514								
JX272515								
JX272516								
JX272517								
JX272518								
JX272519								
JX272520								
JX272521								
JX272522								
JX272523								
JX272524								
JX272525								
JX272526								
JX272527								
JX272528								
JX272529								
JX272530								
JX272531								
JX272532								
JX272533								
JX272534								
JX272535								
JX272536								
JX272537								
JX272538								
JX272539								
JX272540								
JX272541								
JX272542								
JX272543								
JX272544								
JX272545								
JX272546								
JX272547								
JX272548								
JX272549								
JX272550								
JX272551								
JX272552								
JX272553								
JX272554								
JX272555								
JX272556								
JX272557								
JX272558								
JX272559								
JX272560								
JX272561								
JX272562								
JX272563								
JX272564								
JX272565								
JX272566								
JX272567								
JX272568								
JX272569								
JX272570								
JX272571								
JX272572								
JX272573								
JX272574								
JX272575								
JX272576								
JX272577								
JX272578								
JX272579								
JX272580								
JX272581								
JX272582								
JX272583								
JX272584								
JX272585								
JX272586								
JX272587								
JX272588								
JX272589								
JX272590								
JX272591								
JX272592								
JX272593								
JX272594								
JX272595								
JX272596								
JX272597								
JX272598								
JX272599								
JX272600								
JX272601								
JX272602								
JX272603								
JX272604								
JX272605								
JX272606								
JX272607								
JX272608								
JX399148	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian	23831448		
JX399149	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian	23831448		
JX399150	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian	23831448		
JX399151	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian	23831448		
JX399152	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian	23831448		
JX399153	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian	23831448		
JX399154	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian	23831448		
JX399155	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian	23831448		
JX399156	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian	23831448		
JX399157	field	Tippanapalli-Wyra mandal Khamman-Andhra Pradesh		E?BHK?	Mammalian	23831448		
JX560413	field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian	23118453		
JX560414	field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian	23118453		
JX560415	field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian	23118453		
JX560416	field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian	23118453		
JX560417	field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian	23118453		
JX560418	field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian	23118453		
JX560419	field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian	23118453		
JX560420	field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian	23118453		
JX560421	field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian	23118453		
JX560422	field	Mangshi-Dehong-Yunnan	blood	E1C6/36 1BHK4	Mammalian	23118453		
JX680447	RG Recovered					23097432		
JX680448	RG Recovered					23097432		
JX680449	RG Recovered					23097432		
JX680450	RG Recovered					23097432		
JX680451	RG Recovered					23097432		
JX680452	RG Recovered					23097432		
JX680453	RG Recovered					23097432		
JX680454	RG Recovered					23097432		
JX680455	RG Recovered					23097432		
JX680456	RG Recovered					23097432		
JX680457	RG Recovered					23097432		
JX680458	RG Recovered					23097432		
JX680459	RG Recovered					23097432		
JX680460	RG Recovered					23097432		
JX680461	RG Recovered					23097432		
JX680462	RG Recovered					23097432		
JX680463	RG Recovered					23097432		
JX680464	RG Recovered					23097432		
JX680465	RG Recovered					23097432		
JX680466	RG Recovered					23097432		
JX854018	field		blood	BHK?	Mammalian			
JX854019	field		blood	BHK?	Mammalian			
JX854020	field		blood	BHK?	Mammalian			
JX854021	field		blood	BHK?	Mammalian			
JX861487	field	Sare-Labourd-Pyrenees-Atlantiques-Aquitaine	spleen	E1BHK4	Mammalian	23097432		
JX861488	field	Sare-Labourd-Pyrenees-Atlantiques-Aquitaine	spleen	E1BHK4	Mammalian	23097432		
JX861489	field	Sare-Labourd-Pyrenees-Atlantiques-Aquitaine	spleen	E1BHK4	Mammalian	23097432		
JX861490	field	Sare-Labourd-Pyrenees-Atlantiques-Aquitaine	spleen	E1BHK4	Mammalian	23097432		
JX861491	field	Sare-Labourd-Pyrenees-Atlantiques-Aquitaine	spleen	E1BHK4	Mammalian	23097432		
JX861492	field	Sare-Labourd-Pyrenees-Atlantiques-Aquitaine	spleen	E1BHK4	Mammalian	23097432		
JX861493	field	Sare-Labourd-Pyrenees-Atlantiques-Aquitaine	spleen	E1BHK4	Mammalian	23097432		
JX861494	field	Sare-Labourd-Pyrenees-Atlantiques-Aquitaine	spleen	E1BHK4	Mammalian	23097432		
JX861495	field	Sare-Labourd-Pyrenees-Atlantiques-Aquitaine	spleen	E1BHK4	Mammalian	23097432		
JX861496	field	Sare-Labourd-Pyrenees-Atlantiques-Aquitaine	spleen	E1BHK4	Mammalian	23097432		
JX861497	field	Bardigues-Tarn-et-Garonne-Midi-Pyrenees	blood	E1BHK3	Mammalian	23097432		
JX861498	field	Bardigues-Tarn-et-Garonne-Midi-Pyrenees	blood	E1BHK3	Mammalian	23097432		
JX861499	field	Bardigues-Tarn-et-Garonne-Midi-Pyrenees	blood	E1BHK3	Mammalian	23097432		
JX861500	field	Bardigues-Tarn-et-Garonne-Midi-Pyrenees	blood	E1BHK3	Mammalian	23097432		
JX861501	field	Bardigues-Tarn-et-Garonne-Midi-Pyrenees	blood	E1BHK3	Mammalian	23097432		
JX861502	field	Bardigues-Tarn-et-Garonne-Midi-Pyrenees	blood	E1BHK3	Mammalian	23097432		
JX861503	field	Bardigues-Tarn-et-Garonne-Midi-Pyrenees	blood	E1BHK3	Mammalian	23097432		
JX861504	field	Bardigues-Tarn-et-Garonne-Midi-Pyrenees	blood	E1BHK3	Mammalian	23097432		
JX861505	field	Bardigues-Tarn-et-Garonne-Midi-Pyrenees	blood	E1BHK3	Mammalian	23097432		
JX861506	field	Bardigues-Tarn-et-Garonne-Midi-Pyrenees	blood	E1BHK3	Mammalian	23097432		
JX889171	field							
JX889172	field							
JX889173	field							
JX889174	field							
JX889175	field							
JX889176	field							
JX889177	field							
JX889178	field							
JX889179	field							
JX889180	field							
JX889181	field							
JX889182	field							
JX889183	field							
JX889184	field							
JX889185	field							
JX889186	field							
JX889187	field							
JX889188	field							
JX889189	field							
JX889190	field							
JX889191	field							
JX889192	field							
JX889193	field							
JX889194	field							
JX889195	field							
JX889196	field							
JX889197	field							
JX889198	field							
JX889199	field							
JX889200	field							
JX889201	field							
JX889202	field							
JX889203	field							
JX889204	field							
JX889205	field							
JX889206	field							
JX889207	field							
JX889208	field							
JX889209	field							
JX889210	field							
JX889211	field							
JX889212	field							
JX889213	field							
JX889214	field							
JX889215	field							
JX889216	field							
JX889217	field							
JX889218	field							
JX889219	field							
JX965385	field	Guyane	blood	KC?BHK?	Culicoides-Mammalian			
K02369						6206235		
KC012519	field		blood					
KC153300	field		blood					
KC633277	field	Guyane	blood	KC?BHK?	Culicoides-Mammalian	25301282		
KC633278	field	Guyane	blood	KC?BHK?	Culicoides-Mammalian	25301282		
KC633279	field	Guyane	blood	KC?BHK?	Culicoides-Mammalian	25301282		
KC662612	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian	24330644		
KC662613	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian	24330644		
KC662614	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian	24330644		
KC662615	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian	24330644		
KC662616	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian	24330644		
KC662617	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian	24330644		
KC662618	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian	24330644		
KC662619	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian	24330644		
KC662620	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian	24330644		
KC662621	field	Nirmal-Adilabad dist.-Andhra Pradesh	blood	E?BHK?	Mammalian	24330644		
KC706456	field							
KC751419	field		blood	BHK?	Mammalian			
KC751420	field		blood	BHK?	Mammalian			
KC751421	field		blood	BHK?	Mammalian			
KC751422	field		blood	BHK?	Mammalian			
KC751423	field		blood	BHK?	Mammalian			
KC751424	field		blood	BHK?	Mammalian			
KC751425	field		blood	BHK?	Mammalian			
KC853052	field			E1BHK5	Mammalian	24051311		
KC853053	field			E1BHK5	Mammalian	24051311		
KC853054	field			E1BHK5	Mammalian	24051311		
KC853055	field			E1BHK5	Mammalian	24051311		
KC853056	field			E1BHK5	Mammalian	24051311		
KC853057	field			E1BHK5	Mammalian	24051311		
KC853058	field			E1BHK5	Mammalian	24051311		
KC879615	field	Shizhong-Yunnan	blood			23846265		
KC879616	field	Shizhong-Yunnan	blood			23846265		
KC879617	field	Shizhong-Yunnan	blood			23846265		
KC879618	field	Shizhong-Yunnan	blood			23846265		
KC879619	field	Shizhong-Yunnan	blood			23846265		
KC879620	field	Shizhong-Yunnan	blood			23846265		
KC879621	field	Shizhong-Yunnan	blood			23846265		
KC879622	field	Shizhong-Yunnan	blood			23846265		
KC879623	field	Shizhong-Yunnan	blood			23846265		
KC879624	field	Shizhong-Yunnan	blood			23846265		
KC896844	field	Sardinia	blood	KC1V2	Culicoides-Mammalian	23838283		
KC896845	field	Sardinia	blood	KC1V2	Culicoides-Mammalian	23838283		
KC896846	field		spleen			23838283		
KC896847	field		spleen			23838283		
KC896848	field		blood			23838283		
KC896849	field		spleen			23838283		
KC896850	field	Sardinia	blood	CPT-Tert2	Mammalian	23838283		
KC896851	field	Sardinia	blood	CPT-Tert2	Mammalian	23838283		
KC896852	field	Sardinia	blood	CPT-Tert2	Mammalian	23838283		
KC896853	field	Sardinia	blood	CPT-Tert2	Mammalian	23838283		
KC924402	field							
KC954625	field		blood					
KF017477	field		blood					
KF017478	field		blood					
KF017479	field		spleen					
KF017480	field		blood					
KF017481	field		blood					
KF017482	field		blood					
KF017483	field		blood					
KF017484	field		blood					
KF017485	field		blood					
KF017486	field		blood					
KF017487	field		blood					
KF017488	field		blood					
KF017489	field		blood					
KF017490	field		blood					
KF017491	field		spleen					
KF017492	field		blood					
KF017493	field		blood					
KF017494	field		blood					
KF017495	field		blood					
KF017496	field		blood					
KF017497	field		blood					
KF017498	field		blood					
KF017499	field		spleen					
KF017500	field		blood					
KF017501	field		spleen					
KF017502	field		blood					
KF017503	field		blood					
KF017504	field		spleen					
KF017505	field		blood					
KF017506	field		blood					
KF017507	field		blood					
KF017508	field		blood					
KF017509	field		blood					
KF017510	field		blood					
KF017511	field		blood					
KF017512	field		blood					
KF017513	field		spleen					
KF017514	field		blood					
KF017515	field		blood					
KF017516	field		blood					
KF017517	field		blood					
KF017518	field		spleen					
KF017519	field		blood					
KF017520	field		blood					
KF017521	field		spleen					
KF017522	field		blood					
KF017523	field		blood					
KF017524	field		blood					
KF017525	field		blood					
KF017526	field		blood					
KF289015	field		blood					
KF289016	field		blood					
KF289017	field		blood					
KF387521	field	Apulia	blood			23969049		
KF387522	field	Apulia	blood			23969049		
KF387523	field	Apulia	blood			23969049		
KF387524	field	Apulia	blood			23969049		
KF387525	field	Apulia	blood			23969049		
KF387526	field	Apulia	blood			23969049		
KF387527	field	Apulia	blood			23969049		
KF387528	field	Apulia	blood			23969049		
KF387529	field	Apulia	blood			23969049		
KF387530	field	Apulia	blood			23969049		
KF460442	field	Andhra Pradesh						
KF460443	field							
KF460444	field	Andhra Pradesh						
KF460445	field							
KF560417	field	Andhra Pradesh	blood					
KF560418	field	Andhra Pradesh	blood					
KF560419	field	Andhra Pradesh	blood					
KF560420	field	Andhra Pradesh	blood					
KF560421	field	Andhra Pradesh	blood					
KF560422	field	Andhra Pradesh	blood					
KF560423	field	Andhra Pradesh	blood					
KF560424	field	Andhra Pradesh	blood					
KF560425	field	Andhra Pradesh	blood					
KF560426	field	Andhra Pradesh	blood					
KF563929	field	Hisar-Haryana	blood			25703157		
KF563930	field	Avikanagar-Rajasthan	blood			25703157		
KF563931	field		blood			25703157		
KF563932	field	Thoothukkudi-Tamil Nadu	blood			25703157		
KF563933	field	Kadappa-Andhra Pradesh	blood			25703157		
KF563934	field	Nalgonda-Andhra Pradesh	blood			25703157		
KF563935	field	Guntur-Andhra Pradesh	blood			25703157		
KF563936	field	Jasdan-Gujarat				25703157		
KF563937	field	S.K.Nagar-Gujarat				25703157		
KF563938	field	Mathura-Uttar Pradesh	blood			25703157		
KF563939	field	Mathura-Uttar Pradesh	blood			25703157		
KF563940	field	Mathura-Uttar Pradesh	blood			25703157		
KF563941	field	Mathura-Uttar Pradesh	blood			25703157		
KF563942	field	Mathura-Uttar Pradesh	blood			25703157		
KF563943	field	Mathura-Uttar Pradesh	blood			25703157		
KF563944	field	Mathura-Uttar Pradesh	blood			25703157		
KF563945	field	West Godavari-Andhra Pradesh	blood			25703157		
KF563946	field	Pithoragarh-UK	blood			25703157		
KF584169	field		blood					
KF584170	field		blood					
KF584171	field		blood					
KF584172	field		blood					
KF584173	field		blood					
KF584174	field		blood					
KF584175	field		blood					
KF584176	field		blood					
KF584177	field		blood					
KF584178	field		blood					
KF584179	field		blood					
KF584180	field		blood					
KF584181	field		blood					
KF584182	field		blood					
KF584183	field		blood					
KF584184	field		blood					
KF584185	field		blood					
KF584186	field		blood					
KF584187	field		blood					
KF584188	field		blood					
KF584189	field		blood					
KF584190	field		blood					
KF584191	field		blood					
KF584192	field		blood					
KF584193	field		blood					
KF584194	field		blood					
KF584195	field		blood					
KF584196	field		blood					
KF584197	field		blood					
KF584198	field		blood					
KF584199	field		blood					
KF584200	field		blood					
KF584201	field		blood					
KF584202	field		blood					
KF584203	field		blood					
KF584204	field		blood					
KF584205	field		blood					
KF584206	field		blood					
KF584207	field		blood					
KF584208	field		blood					
KF584209	field		blood					
KF584210	field		blood					
KF584211	field		blood					
KF584212	field		blood					
KF584213	field		blood					
KF584214	field		blood					
KF584215	field		blood					
KF584216	field		blood					
KF584217	field		blood					
KF584218	field		blood					
KF584219	field		blood					
KF584220	field		blood					
KF584221	field		blood					
KF664103	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664104	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664105	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664106	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664107	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664108	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664109	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664110	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664111	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664112	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664113	field	Gujarat	Culicoides oxystoma	BHK?	Mammalian			
KF664114	field	Gujarat	Culicoides oxystoma	BHK?	Mammalian			
KF664115	field	Gujarat	Culicoides oxystoma	BHK?	Mammalian			
KF664116	field	Gujarat	Culicoides oxystoma	BHK?	Mammalian			
KF664117	field	Gujarat	Culicoides oxystoma	BHK?	Mammalian			
KF664118	field	Gujarat	Culicoides oxystoma	BHK?	Mammalian			
KF664119	field	Gujarat	Culicoides oxystoma	BHK?	Mammalian			
KF664120	field	Gujarat	Culicoides oxystoma	BHK?	Mammalian			
KF664121	field	Gujarat	Culicoides oxystoma	BHK?	Mammalian			
KF664122	field	Gujarat	Culicoides oxystoma	BHK?	Mammalian			
KF664123	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664124	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664125	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664126	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664127	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664128	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664129	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664130	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664131	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664132	field	Andhra Pradesh	blood	BHK?	Mammalian			
KF664133	field	Gujarat	blood	BHK?	Mammalian			
KF664134	field	Gujarat	blood	BHK?	Mammalian			
KF664135	field	Gujarat	blood	BHK?	Mammalian			
KF664136	field	Gujarat	blood	BHK?	Mammalian			
KF664137	field	Gujarat	blood	BHK?	Mammalian			
KF664138	field	Gujarat	blood	BHK?	Mammalian			
KF664139	field	Gujarat	blood	BHK?	Mammalian			
KF664140	field	Gujarat	blood	BHK?	Mammalian			
KF664141	field	Gujarat	blood	BHK?	Mammalian			
KF664142	field	Gujarat	blood	BHK?	Mammalian			
KF769399						24980574		
KF986488	field	Florida-Hillsbrough	blood	BHK?	Mammalian	24916442		
KF986489	field		blood			24916442		
KF986490	field	Florida-Hillsbrough	blood	BHK?	Mammalian	24916442		
KF986491	field		blood			24916442		
KF986492	field	Florida-Hillsbrough	blood	BHK?	Mammalian	24916442		
KF986493	field		blood			24916442		
KF986494	field		blood			24916442		
KF986495	field	Florida-Hillsbrough	blood	BHK?	Mammalian	24916442		
KF986496	field	Florida-Hillsbrough	blood	BHK?	Mammalian	24916442		
KF986497	field		blood			24916442		
KF986498	field	Florida-Hillsbrough	blood	BHK?	Mammalian	24916442		
KF986499	field	Florida-Manatee	blood	BHK?	Mammalian	24916442		
KF986500	field	Florida-Manatee	blood	BHK?	Mammalian	24916442		
KF986501	field		blood			24916442		
KF986502	field	Florida-Manatee	blood	BHK?	Mammalian	24916442		
KF986503	field		blood			24916442		
KF986504	field	Florida-Hillsbrough	blood	BHK?	Mammalian	24916442		
KF986505	field	Florida-Hillsbrough	blood	BHK?	Mammalian	24916442		
KF986506	field	Florida-Manatee	blood	BHK?	Mammalian	24916442		
KF986507	field		blood			24916442		
KF986508	field	Florida-Hillsbrough	blood	BHK?	Mammalian	24916442		
KF986509	field	Florida-Manatee	blood	BHK?	Mammalian	24916442		
KF986510	field	Florida-Manatee	blood	BHK?	Mammalian	24916442		
KF986511	field	Florida-Manatee	blood	BHK?	Mammalian	24916442		
KF986512	field	Florida-Manatee	blood	BHK?	Mammalian	24916442		
KF986513	field	Florida-Manatee	blood	BHK?	Mammalian	24916442		
KF986514	field	Florida-Hillsbrough	blood	BHK?	Mammalian	24916442		
KF986515	field		blood			24916442		
KF986516	field		blood			24916442		
KF986517	field	Florida-Manatee	blood	BHK?	Mammalian	24916442		
KJ019205	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian	24526649		
KJ019206	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian	24526649		
KJ019207	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian	24526649		
KJ019208	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian	24526649		
KJ019209	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian	24526649		
KJ019210	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian	24526649		
KJ019211	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian	24526649		
KJ019212	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian	24526649		
KJ019213	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian	24526649		
KJ019214	field	Sardinia	blood	KC1BSR1	Culicoides-Mammalian	24526649		
KJ506694				V?	Mammalian	26780892		
KJ506695				V?	Mammalian	26780892		
KJ506696				V?	Mammalian	26780892		
KJ506697				V?	Mammalian	26780892		
KJ506698				V?	Mammalian	26780892		
KJ506699				V?	Mammalian	26780892		
KJ506700				V?	Mammalian	26780892		
KJ506701				V?	Mammalian	26780892		
KJ506702				V?	Mammalian	26780892		
KJ506703				V?	Mammalian	26780892		
KJ506704				V?	Mammalian	26780892		
KJ577094	field	Sardinia	blood	CPT-Tert2BSR1	Mammalian	25239524		
KJ577095	field	Sardinia	blood	CPT-Tert2BSR1	Mammalian	25239524		
KJ577096	field	Sardinia	blood	CPT-Tert2BSR1	Mammalian	25239524		
