taxon	country	serotype	host	year	accession	accession_country_serotype
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821003	FRA	1	Bos taurus	2008	KP821003	KP821003/FRA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821004	GIB	1	Ovis aries	2007	KP821004	KP821004/GIB/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821005	GRC	1	Ovis aries	2001	KP821005	KP821005/GRC/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821006	GRC	1	Ovis aries	2001	KP821006	KP821006/GRC/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821007	GRC	1	Ovis aries	2001	KP821007	KP821007/GRC/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821008	LBY	1	Ovis aries	2007	KP821008	KP821008/LBY/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821009	MAR	1	Ovis aries	2006	KP821009	KP821009/MAR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821010	MAR	1	Ovis aries	2007	KP821010	KP821010/MAR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821011	MAR	1	Ovis aries	2007	KP821011	KP821011/MAR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821012	MAR	1	Ovis aries	2007	KP821012	KP821012/MAR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821013	MAR	1	Ovis aries	2007	KP821013	KP821013/MAR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821014	MAR	1	Ovis aries	2009	KP821014	KP821014/MAR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821015	MAR	1	Ovis aries	2009	KP821015	KP821015/MAR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821016	MAR	1	Ovis aries	2009	KP821016	KP821016/MAR/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821017	ZAF	1	Ovis aries	1958	KP821017	KP821017/ZAF/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821018	ESP	1	Bos taurus	2007	KP821018	KP821018/ESP/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821019	ESP	1	Bos taurus	2007	KP821019	KP821019/ESP/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821020	ESP	1	Ovis aries	2008	KP821020	KP821020/ESP/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821021	ESP	1	Bos taurus	2009	KP821021	KP821021/ESP/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821022	SDN	1	-	1987	KP821022	KP821022/SDN/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821023	TUN	1	Ovis aries	2007	KP821023	KP821023/TUN/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821024	FRA	2	-	2001	KP821024	KP821024/FRA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821025	FRA	2	Ovis aries	2001	KP821025	KP821025/FRA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821026	FRA	2	Ovis aries	2001	KP821026	KP821026/FRA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821027	ISR	2	Ovis aries	2001	KP821027	KP821027/ISR/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821028	ITA	2	Culicoides pulicaris	2002	KP821028	KP821028/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821029	ITA	2	Ovis aries	2002	KP821029	KP821029/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821030	ZAF	2	Ovis aries	1959	KP821030	KP821030/ZAF/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821031	ZAF	2	Ovis aries	1958	KP821031	KP821031/ZAF/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821032	ITA	2	Ovis aries	2001	KP821032	KP821032/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821033	ITA	2	Ovis aries	2001	KP821033	KP821033/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821034	ITA	2	Ovis aries	2002	KP821034	KP821034/ITA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821035	ESP	2	Bos taurus	2005	KP821035	KP821035/ESP/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821036	SDN	2	Culicoides sp.	1983	KP821036	KP821036/SDN/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821037	TUN	2	-	2000	KP821037	KP821037/TUN/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821038	CYP	3	-	1958	KP821038	KP821038/CYP/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821039	CYP	3	Ovis aries	1943	KP821039	KP821039/CYP/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821040	CYP	4	Bos taurus	1969	KP821040	KP821040/CYP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821041	CYP	4	Ovis aries	2004	KP821041	KP821041/CYP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821042	CYP	4	Ovis aries	2011	KP821042	KP821042/CYP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821043	CYP	4	Ovis aries	2011	KP821043	KP821043/CYP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821044	CYP	4	Ovis aries	2011	KP821044	KP821044/CYP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821045	CYP	4	Ovis aries	2011	KP821045	KP821045/CYP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821046	CYP	4	Ovis aries	2011	KP821046	KP821046/CYP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821047	EGY	4	-	1977	KP821047	KP821047/EGY/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821048	FRA	4	-	2003	KP821048	KP821048/FRA/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821049	FRA	4	-	2003	KP821049	KP821049/FRA/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821050	FRA	4	-	2003	KP821050	KP821050/FRA/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821051	GRC	4	Ovis aries	1979	KP821051	KP821051/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821052	GRC	4	Ovis aries	1999	KP821052	KP821052/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821053	GRC	4	Culicoides obsoletus	1999	KP821053	KP821053/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821054	GRC	4	Ovis aries	2000	KP821054	KP821054/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821055	GRC	4	Culicoides obsoletus	2000	KP821055	KP821055/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821056	GRC	4	Ovis aries	2012	KP821056	KP821056/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821057	GRC	4	Ovis aries	2012	KP821057	KP821057/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821058	GRC	4	Ovis aries	2012	KP821058	KP821058/GRC/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821059	ISR	4	Ovis aries	2006	KP821059	KP821059/ISR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821060	ISR	4	Bos taurus	2008	KP821060	KP821060/ISR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821061	MAR	4	Ovis aries	2004	KP821061	KP821061/MAR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821062	MAR	4	Ovis aries	2009	KP821062	KP821062/MAR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821063	MAR	4	Ovis aries	2009	KP821063	KP821063/MAR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821064	MAR	4	Ovis aries	2009	KP821064	KP821064/MAR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821065	MAR	4	Ovis aries	2009	KP821065	KP821065/MAR/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821066	CYP	4	Ovis aries	1969	KP821066	KP821066/CYP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821067	ESP	4	Ovis aries	2003	KP821067	KP821067/ESP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821068	ESP	4	Ovis aries	2004	KP821068	KP821068/ESP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821069	ESP	4	Bos taurus	2005	KP821069	KP821069/ESP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821070	ESP	4	Bos taurus	2010	KP821070	KP821070/ESP/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821071	SDN	4	Bos taurus	1983	KP821071	KP821071/SDN/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821072	ISR	8	Bos taurus	2008	KP821072	KP821072/ISR/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821073	GRC	8	Ovis aries	2008	KP821073	KP821073/GRC/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821074	NLD	8	Bos taurus	2008	KP821074	KP821074/NLD/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821075	ZAF	8	Capra hircus	1998	KP821075	KP821075/ZAF/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821076	ZAF	8	Ovis aries	1937	KP821076	KP821076/ZAF/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821077	GBR	8	Bos taurus	2007	KP821077	KP821077/GBR/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821078	BIH	9	Ovis aries	2002	KP821078	KP821078/BIH/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821079	BGR	9	-	1999	KP821079	KP821079/BGR/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821080	GRC	9	Ovis aries	1998	KP821080	KP821080/GRC/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821081	GRC	9	Ovis aries	1999	KP821081	KP821081/GRC/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821082	GRC	9	Bos taurus	1999	KP821082	KP821082/GRC/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821083	ITA	9	Ovis aries	2003	KP821083	KP821083/ITA/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821084	XKX	9	Ovis aries	2001	KP821084	KP821084/XKX/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821085	XKX	9	Ovis aries	2001	KP821085	KP821085/XKX/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821086	LBY	9	Ovis aries	2008	KP821086	KP821086/LBY/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821087	LBY	9	Ovis aries	2008	KP821087	KP821087/LBY/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821088	ZAF	9	Ovis aries	1942	KP821088	KP821088/ZAF/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821089	ZAF	9	Ovis aries	1942	KP821089	KP821089/ZAF/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821090	SRB	9	Ovis aries	2001	KP821090	KP821090/SRB/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821091	TUR	9	Ovis aries	1998	KP821091	KP821091/TUR/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821092	TUR	9	-	2000	KP821092	KP821092/TUR/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821093	TUR	9	Ovis aries	2001	KP821093	KP821093/TUR/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821094	CMR	14	-	1982	KP821094	KP821094/CMR/14
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821095	POL	14	Bos taurus	2012	KP821095	KP821095/POL/14
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821096	RUS	14	Bos taurus	2011	KP821096	KP821096/RUS/14
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821097	LTU	14	Bos taurus	2012	KP821097	KP821097/LTU/14
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821098	ISR	15	Ovis aries	2006	KP821098	KP821098/ISR/15
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821099	NLD	8	-	-	KP821099	KP821099/NLD/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821100	ZAF	12	Ovis aries	1941	KP821100	KP821100/ZAF/12
alignment/PHYLO_UNC_S2/member/ncbi-curated/KP821101	ZAF	5	Ovis aries	1953	KP821101	KP821101/ZAF/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/KR061882	CHN	-	Capra hircus	2014	KR061882	KR061882/CHN/-
alignment/PHYLO_UNC_S2/member/ncbi-curated/KR233814	RUS	14	Bos taurus	2011	KR233814	KR233814/RUS/14
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT002579	CHN	7	Bos taurus	2014	KT002579	KT002579/CHN/7
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT317666	ZAF	4	Ovis aries	2011	KT317666	KT317666/ZAF/4
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT317676	ZAF	3	Ovis aries	2011	KT317676	KT317676/ZAF/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT317686	ZAF	8	Ovis aries	2014	KT317686	KT317686/ZAF/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT317696	ZAF	10	Ovis aries	2011	KT317696	KT317696/ZAF/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT885056	ZAF	9	Ovis aries	2014	KT885056	KT885056/ZAF/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT885066	ZAF	11	Ovis aries	2014	KT885066	KT885066/ZAF/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT885076	ZAF	9	Bos taurus	2014	KT885076	KT885076/ZAF/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT945042	CHN	5	Bos taurus	2012	KT945042	KT945042/CHN/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT945043	CHN	5	Bos taurus	2014	KT945043	KT945043/CHN/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT945044	CHN	5	Bos taurus	2012	KT945044	KT945044/CHN/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT945045	CHN	5	Bos taurus	2012	KT945045	KT945045/CHN/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT945046	CHN	7	Bos taurus	2014	KT945046	KT945046/CHN/7
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT945047	CHN	7	Capra hircus	2014	KT945047	KT945047/CHN/7
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT945048	CHN	24	Bos taurus	2013	KT945048	KT945048/CHN/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT945049	CHN	24	Bos taurus	2012	KT945049	KT945049/CHN/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT946760	ISR	-	Bos taurus	2010	KT946760	KT946760/ISR/-
alignment/PHYLO_UNC_S2/member/ncbi-curated/KT946761	ISR	-	Bos taurus	2010	KT946761	KT946761/ISR/-
alignment/PHYLO_UNC_S2/member/ncbi-curated/KU234258	IND	1	Capra hircus	2008	KU234258	KU234258/IND/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KU569991	FRA	8	Ovis aries	2015	KU569991	KU569991/FRA/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KU760988	FRA	27	Capra hircus	2014	KU760988	KU760988/FRA/27
alignment/PHYLO_UNC_S2/member/ncbi-curated/KU760998	FRA	27	Capra hircus	2014	KU760998	KU760998/FRA/27
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164020	USA	1	Ovis aries	2010	KX164020	KX164020/USA/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164030	USA	3	Odocoileus virginianus	2008	KX164030	KX164030/USA/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164040	USA	3	deer	2012	KX164040	KX164040/USA/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164050	USA	3	Bos taurus	2015	KX164050	KX164050/USA/3
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164060	USA	5	Bos taurus	2003	KX164060	KX164060/USA/5
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164070	USA	9	deer	2008	KX164070	KX164070/USA/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164080	USA	12	Odocoileus virginianus	2008	KX164080	KX164080/USA/12
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164090	USA	12	Odocoileus virginianus	2012	KX164090	KX164090/USA/12
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164100	USA	13	Antilocapra americana	2013	KX164100	KX164100/USA/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164110	USA	14	Ovis aries	2003	KX164110	KX164110/USA/14
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164120	USA	18	Odocoileus virginianus	2014	KX164120	KX164120/USA/18
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164130	USA	19	Bos taurus	2003	KX164130	KX164130/USA/19
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164140	USA	22	Ovis aries	2005	KX164140	KX164140/USA/22
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX164150	USA	24	Odocoileus virginianus	2007	KX164150	KX164150/USA/24
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX234079	ITA	-	Capra aegagrus hircus	2015	KX234079	KX234079/ITA/-
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX247939	-	10	-	-	KX247939	KX247939/-/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX302635	IND	16	Ovis aries	2014	KX302635	KX302635/IND/16
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX442583	ECU	9	Bos taurus	2015	KX442583	KX442583/ECU/9
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX442584	ECU	13	Bos taurus	2015	KX442584	KX442584/ECU/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX442585	ECU	18	Bos taurus	2015	KX442585	KX442585/ECU/18
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX599360	BRA	17	Ovis aries	2014	KX599360	KX599360/BRA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX815885	-	8	-	-	KX815885	KX815885/-/8
alignment/PHYLO_UNC_S2/member/ncbi-curated/KX815886	-	22	-	-	KX815886	KX815886/-/22
alignment/PHYLO_UNC_S2/member/ncbi-curated/L11741	USA	13	-	-	L11741	L11741/USA/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/L11874	USA	13	-	-	L11874	L11874/USA/13
alignment/PHYLO_UNC_S2/member/ncbi-curated/L29026	USA	10	-	-	L29026	L29026/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/L29027	USA	10	-	-	L29027	L29027/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/L46685	AUS	23	-	-	L46685	L46685/AUS/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/M11787	USA	10	-	-	M11787	M11787/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/M17437	USA	11	-	-	M17437	M17437/USA/11
alignment/PHYLO_UNC_S2/member/ncbi-curated/M17438	USA	17	-	-	M17438	M17438/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/M21844	AUS	1	Bos taurus	1979	M21844	M21844/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/M21946	USA	2	-	-	M21946	M21946/USA/2
alignment/PHYLO_UNC_S2/member/ncbi-curated/NC_006013	USA	10	Ovis aries	1953	NC_006013	NC_006013/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/S72158	USA	17	Bos taurus	1981	S72158	S72158/USA/17
alignment/PHYLO_UNC_S2/member/ncbi-curated/U04200	USA	23	-	-	U04200	U04200/USA/23
alignment/PHYLO_UNC_S2/member/ncbi-curated/U06780	USA	10	Bos taurus	1980	U06780	U06780/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/U06781	USA	10	Bos taurus	1990	U06781	U06781/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/U06782	USA	10	Ovis aries	1980	U06782	U06782/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/U06783	USA	10	Ovis aries	1980	U06783	U06783/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/U06784	USA	10	Ovis aries	1990	U06784	U06784/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/U06785	USA	10	Ovis aries	1990	U06785	U06785/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/U06786	USA	10	Ovis aries	-	U06786	U06786/USA/10
alignment/PHYLO_UNC_S2/member/ncbi-curated/X06464	AUS	1	-	-	X06464	X06464/AUS/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/X55800	ZAF	1	-	-	X55800	X55800/ZAF/1
alignment/PHYLO_UNC_S2/member/ncbi-curated/X55801	ZAF	3	-	-	X55801	X55801/ZAF/3
